"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.951544335872163
0.509,-1.01313704366113
0.518,-1.08261588728053
0.527,-1.16084992403224
0.536,-1.24877098414252
0.545,-1.34736572079377
0.554,-1.45766248337737
0.563,-1.58071172077474
0.572,-1.71755856825007
0.581,-1.86920633582375
0.59,-2.03656985246171
0.599,-2.22041808719418
0.608,-2.4213062187315
0.617,-2.63949839677166
0.626,-2.87488383997531
0.635,-3.12689061550791
0.644,-3.39440335856411
0.653,-3.67569316782369
0.662,-3.96836972126783
0.671,-4.26936695047595
0.68,-4.57497389745797
0.689,-4.8809210057204
0.698,-5.18252833522224
0.707,-5.47491546980381
0.716,-5.75326324024972
0.725,-6.0131059823178
0.734,-6.25062247049577
0.743,-6.46288752276286
0.752,-6.64804789961055
0.761,-6.80539680476517
0.77,-6.93533901397804
0.779,-7.03925842761681
0.788,-7.11931575860342
0.797,-7.17821192251098
0.806,-7.21895159117903
0.815,-7.24463350277858
0.824,-7.25828321526731
0.833,-7.26273352097
0.842,-7.26054985630426
0.851,-7.25399340508435
0.86,-7.24501281431253
0.869,-7.23525565234939
0.878,-7.22609204737674
0.887,-7.21864465632088
0.896,-7.21382079413171
0.905,-7.21234398107747
0.914,-7.21478327032586
0.923,-7.22157951251136
0.932,-7.23306824910641
0.941,-7.24949926287015
0.95,-7.27105300747587
0.959,-7.29785423534518
0.968,-7.32998317726772
0.977,-7.36748462418125
0.986,-7.41037523728435
0.995,-7.45864937836438
1.004,-7.51228371462884
1.013,-7.57124081540572
1.022,-7.63547192396558
1.031,-7.70491905739612
1.04,-7.77951656120841
1.049,-7.85919222305548
1.058,-7.94386803127313
1.067,-8.03346064849982
1.076,-8.12788165796431
1.085,-8.2270376297383
1.094,-8.3308300459646
1.103,-8.43915511746461
1.112,-8.55190351892605
1.121,-8.66896006583695
1.13,-8.7902033532713
1.139,-8.91550537438213
1.148,-9.04473113488203
1.157,-9.17773827877637
1.166,-9.31437674005773
1.175,-9.45448843488493
1.184,-9.5979070088719
1.193,-9.74445765441868
1.202,-9.89395701344769
1.211,-10.0462131813746
1.22,-10.2010258285515
1.229,-10.3581864556686
1.238,-10.5174787995809
1.247,-10.6786794056187
1.256,-10.8415583815322
1.265,-11.0058803466803
1.274,-11.1714055878052
1.283,-11.337891429626
1.292,-11.5050938244822
1.301,-11.6727691603209
1.31,-11.8406762804749
1.319,-12.0085787020074
1.328,-12.1762470120474
1.337,-12.3434614137528
1.346,-12.5100143856116
1.355,-12.675713410104
1.364,-12.8403837207405
1.373,-13.0038710106033
1.382,-13.1660440412265
1.391,-13.3267970883515
1.4,-13.4860521611306
1.409,-13.6437609339293
1.418,-13.7999063350516
1.427,-13.9545037443602
1.436,-14.107601761589
1.445,-14.2592825186598
1.454,-14.4096615219158
1.463,-14.5588870231285
1.472,-14.7071389306765
1.481,-14.8546272836516
1.49,-15.0015903211424
1.499,-15.1482921859871
1.508,-15.2950203064384
1.517,-15.4420825001804
1.526,-15.589803842844
1.535,-15.7385233376293
1.544,-15.8885904139804
1.553,-16.0403612716732
1.562,-16.1941950724026
1.571,-16.350449964195
1.58,-16.5094789048871
1.589,-16.6716252295895
1.598,-16.8372178835
1.607,-17.0065662155901
1.616,-17.1799542004753
1.625,-17.3576339251885
1.634,-17.5398181447573
1.643,-17.7266716760206
1.652,-17.9183013642473
1.661,-18.1147443242456
1.67,-18.3159541309013
1.679,-18.5217846202325
1.688,-18.7319709715558
1.697,-18.9461077898355
1.706,-19.1636240169516
1.715,-19.3837547017165
1.724,-19.6055099897608
1.733,-19.8276422015649
1.742,-20.048612596736
1.751,-20.2665604100286
1.76,-20.479277988903
1.769,-20.6841972903681
1.778,-20.8783944121046
1.787,-21.0586198751037
1.796,-21.2213624869157
1.805,-21.3629531024835
1.814,-21.4797108126945
1.823,-21.5681277549691
1.832,-21.6250803788949
1.841,-21.6480462389155
1.85,-21.635298835939
1.859,-21.5860515235176
1.868,-21.5005268144046
1.877,-21.3799391286265
1.886,-21.2263941832416
1.895,-21.0427224443529
1.904,-20.8322733550619
1.913,-20.5986994634273
1.922,-20.3457556786536
1.931,-20.0771310639517
1.94,-19.7963217060151
1.949,-19.5065455416545
1.958,-19.2106947259073
1.967,-18.9113183374555
1.976,-18.6106274578994
1.985,-18.3105152311141
1.994,-18.0125857576111
2.003,-17.7181871292176
2.012,-17.4284452725445
2.021,-17.1442964078663
2.03,-16.8665168056369
2.039,-16.5957491540875
2.048,-16.3325252807241
2.057,-16.0772852460588
2.066,-15.8303929933621
2.075,-15.5921488293947
2.084,-15.3627990551337
2.093,-15.1425430818895
2.102,-14.9315383700723
2.111,-14.7299035234294
2.12,-14.5377198654219
2.129,-14.3550318184049
2.138,-14.1818464004132
2.147,-14.0181321473663
2.156,-13.8638177584303
2.165,-13.7187907469443
2.174,-13.5828963568153
2.183,-13.4559369732966
2.192,-13.337672217215
2.201,-13.2278198636848
2.21,-13.1260576719654
2.219,-13.0320261551373
2.228,-12.94533226017
2.237,-12.865553874456
2.246,-12.7922450275996
2.255,-12.7249416201798
2.264,-12.6631674864682
2.273,-12.6064405866427
2.282,-12.5542791257335
2.291,-12.5062074100932
2.3,-12.4617612755261
2.309,-12.4204929516688
2.318,-12.381975261934
2.327,-12.3458050944769
2.336,-12.311606114748
2.345,-12.2790307222133
2.354,-12.2477612813299
2.363,-12.2175106789558
2.372,-12.1880222767406
2.381,-12.1590693377717
2.39,-12.1304540123118
2.399,-12.1020059685315
2.408,-12.0735807515432
2.417,-12.0450579486277
2.426,-12.0163392311538
2.435,-11.9873463350762
2.444,-11.9580190326986
2.453,-11.9283131391533
2.462,-11.8981985881637
2.471,-11.8676576034227
2.48,-11.8366829845276
2.489,-11.8052765199514
2.498,-11.7734475340517
2.507,-11.741211570588
2.516,-11.7085892115853
2.525,-11.675605027569
2.534,-11.642286653099
2.543,-11.6086639800634
2.552,-11.5747684602388
2.561,-11.5406325081043
2.57,-11.5062889947187
2.579,-11.4717708235561
2.588,-11.4371105794822
