!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 13:11:32
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-69.409149,-132.84457
504500000,-74.157806,-98.753448
509000000,-71.334747,-176.51224
513500000,-72.031174,15.260536
518000000,-68.274467,67.88443
522500000,-79.611237,62.170643
527000000,-73.497528,-19.81636
531500000,-67.994751,-105.17286
536000000,-90.553886,122.74049
540500000,-83.043243,85.105705
545000000,-64.654442,153.06241
549500000,-66.116234,106.27697
554000000,-76.886856,-29.930016
558500000,-75.325485,-67.336227
563000000,-89.5261,-156.10016
567500000,-74.648972,-80.422043
572000000,-73.47995,-84.470718
576500000,-65.68602,92.536919
581000000,-96.703941,71.609764
585500000,-83.045906,88.289124
590000000,-74.675957,93.324348
594500000,-85.197212,-167.06927
599000000,-68.869125,40.64159
603500000,-77.339462,-113.00893
608000000,-87.944931,-79.702202
612500000,-74.472321,-127.20577
617000000,-75.674469,-28.43746
621500000,-100.82849,1.0345533
626000000,-71.286453,54.704384
630500000,-72.225685,-62.16386
635000000,-65.582939,-168.6687
639500000,-70.090996,-168.32014
644000000,-75.981384,-147.08063
648500000,-77.887489,-99.062668
653000000,-73.976021,166.98643
657500000,-74.37468,76.575256
662000000,-71.765129,-87.773224
666500000,-74.927467,-65.64283
671000000,-70.852036,-55.428463
675500000,-70.258736,-98.82666
680000000,-71.645576,111.35599
684500000,-74.046219,151.63347
689000000,-73.3452,161.15541
693500000,-72.626137,173.33173
698000000,-67.102806,16.413416
702500000,-68.756218,-142.92067
707000000,-71.868622,158.43777
711500000,-76.494514,-52.335442
716000000,-97.718407,31.615847
720500000,-75.435814,-21.642982
725000000,-80.099129,137.98235
729500000,-67.131844,58.801071
734000000,-84.370819,-4.9853458
738500000,-85.202034,9.8255367
743000000,-74.165695,106.87143
747500000,-68.054024,-49.870071
752000000,-74.905464,-173.64775
756500000,-66.25235,-63.981701
761000000,-68.010216,170.39944
765500000,-68.285599,95.655441
770000000,-70.327957,53.219246
774500000,-74.992729,-58.50771
779000000,-69.62619,19.665554
783500000,-71.150162,56.941475
788000000,-65.508675,-59.004414
792500000,-65.007965,138.13371
797000000,-77.652748,-73.497108
801500000,-67.065941,129.59438
806000000,-76.260277,-112.50928
810500000,-68.624329,175.24283
815000000,-71.542404,146.67513
819500000,-73.195786,-52.534767
824000000,-73.475578,136.06477
828500000,-74.118279,147.79738
833000000,-67.28093,-174.44357
837500000,-72.949898,-27.169535
842000000,-66.849998,42.658627
