"Freq [GHz]","dB(S(1,1)) []"
0.5,-5.52606413944848
0.509,-5.54303084133706
0.518,-5.55285816500176
0.527,-5.55608360627664
0.536,-5.55336170043676
0.545,-5.54545830928885
0.554,-5.53324202001003
0.563,-5.5176731139914
0.572,-5.49979067306087
0.581,-5.48069844965372
0.59,-5.46155013629294
0.599,-5.44353463346486
0.608,-5.4278618431926
0.617,-5.41574942010847
0.626,-5.40841080464951
0.635,-5.40704475484382
0.644,-5.41282649233398
0.653,-5.42690049028947
0.662,-5.450374858412
0.671,-5.48431722368306
0.68,-5.52975196337668
0.689,-5.58765861647603
0.698,-5.65897127757153
0.707,-5.7445787598174
0.716,-5.84532529663641
0.725,-5.96201153152201
0.734,-6.0953955171774
0.743,-6.24619340453357
0.752,-6.41507944323914
0.761,-6.60268483101636
0.77,-6.80959483093328
0.779,-7.03634341176581
0.788,-7.28340444267046
0.797,-7.55117817132919
0.806,-7.83997131321365
0.815,-8.1499685557626
0.824,-8.48119261548634
0.833,-8.8334491732409
0.842,-9.20625208545999
0.851,-9.59872334042899
0.86,-10.0094615711968
0.869,-10.4363731104768
0.878,-10.8764616141722
0.887,-11.3255779241337
0.896,-11.77814364508
0.905,-12.226882913766
0.914,-12.6626290085113
0.923,-13.0743128992755
0.932,-13.4492755395441
0.941,-13.7740438885106
0.95,-14.0356300859604
0.959,-14.2232300226209
0.968,-14.3299571541434
0.977,-14.3540873851689
0.986,-14.299366112811
0.995,-14.1742589521754
1.004,-13.9904313163153
1.013,-13.7609733163645
1.022,-13.4988459826931
1.031,-13.2158088489595
1.04,-12.9218614721005
1.049,-12.6250924060025
1.058,-12.3317877296614
1.067,-12.0466700955271
1.076,-11.7731791829541
1.085,-11.5137422114502
1.094,-11.2700104532897
1.103,-11.0430543437187
1.112,-10.8335185611281
1.121,-10.641742266783
1.13,-10.4678507577155
1.139,-10.3118245036132
1.148,-10.1735507122217
1.157,-10.0528616137347
1.166,-9.9495627639805
1.175,-9.86345390998097
1.184,-9.79434435184803
1.193,-9.74206425861956
1.202,-9.70647303053181
1.211,-9.68746552369773
1.22,-9.68497674508711
1.229,-9.69898546943384
1.238,-9.72951711195508
1.247,-9.7766461011381
1.256,-9.84049792614602
1.265,-9.92125097705192
1.274,-10.0191382476295
1.283,-10.1344489248345
