!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 13:31:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
500000000,-5.1982999,146.69037
504500000,-5.2430687,145.7536
509000000,-5.3118858,144.6465
513500000,-5.3860011,143.51569
518000000,-5.4782386,142.39658
522500000,-5.6270771,141.39743
527000000,-5.7835345,140.49846
531500000,-5.9107585,139.38466
536000000,-6.0213776,138.44485
540500000,-6.1611814,137.41127
545000000,-6.3201127,136.41879
549500000,-6.4920702,135.47234
554000000,-6.7002211,134.89319
558500000,-6.8840723,134.30698
563000000,-7.0953274,133.40237
567500000,-7.4161448,131.96605
572000000,-7.8012071,131.15582
576500000,-8.2066603,130.52132
581000000,-8.5954657,130.02184
585500000,-8.9926643,129.66374
590000000,-9.4061432,129.30667
594500000,-9.8107958,129.81093
599000000,-10.195879,130.89845
603500000,-10.537219,132.37595
608000000,-10.799664,133.84938
612500000,-11.024404,135.83818
617000000,-11.22048,137.88228
621500000,-11.410935,139.80341
626000000,-11.55675,142.01532
630500000,-11.601253,144.3195
635000000,-11.590467,146.28299
639500000,-11.575911,147.70921
644000000,-11.539939,149.24467
648500000,-11.498511,150.45509
653000000,-11.476395,152.09816
657500000,-11.374337,153.77434
662000000,-11.340542,155.4137
666500000,-11.285012,156.95618
671000000,-11.259811,158.42119
675500000,-11.254926,160.24049
680000000,-11.226862,162.63362
684500000,-11.160915,164.60062
689000000,-10.9748,166.85229
693500000,-10.739583,168.03021
698000000,-10.421471,168.85506
702500000,-10.11479,168.88191
707000000,-9.8083897,168.68071
711500000,-9.5164137,168.05647
716000000,-9.2720022,167.51317
720500000,-9.0011806,167.23813
725000000,-8.8137217,166.47107
729500000,-8.6288118,165.91869
734000000,-8.4656048,165.05066
738500000,-8.3343248,164.32239
743000000,-8.2198105,163.73688
747500000,-8.113719,163.08682
752000000,-7.9822941,162.39037
756500000,-7.8200407,161.61319
761000000,-7.6563549,160.8997
765500000,-7.4897614,160.15993
770000000,-7.3358192,159.55949
774500000,-7.1103683,159.00169
779000000,-7.0450783,157.96715
783500000,-7.0313144,157.67105
788000000,-6.9032674,156.92046
792500000,-6.8161821,155.32315
797000000,-6.9097543,153.93573
801500000,-6.9308939,152.92696
806000000,-6.8297863,151.28551
810500000,-6.8736076,149.44292
815000000,-6.9278564,148.01181
819500000,-6.8663831,147.01311
824000000,-6.8405995,145.24065
828500000,-6.9391971,143.95392
833000000,-6.9862843,143.00874
837500000,-7.0325718,141.98059
842000000,-7.0866513,140.3069
846500000,-7.2339215,138.98264
851000000,-7.3486137,137.96777
855500000,-7.4324198,136.55986
860000000,-7.6012049,134.92326
864500000,-7.7517748,134.00966
869000000,-7.8580103,133.40274
873500000,-7.9815288,132.72728
878000000,-8.1681547,132.46387
882500000,-8.3691273,132.93794
887000000,-8.515029,133.12186
891500000,-8.6862373,133.4689
896000000,-8.9118052,134.18991
900500000,-9.1249142,134.76036
905000000,-9.2453766,134.97856
909500000,-9.485177,134.91737
914000000,-9.6442137,135.0887
918500000,-9.6709633,135.10249
923000000,-9.6758871,134.74213
927500000,-9.7378588,134.91373
932000000,-9.7273264,134.87975
936500000,-9.7299042,134.28766
941000000,-9.8105116,134.43129
945500000,-9.9332619,134.81874
950000000,-9.9787416,135.37564
954500000,-10.086681,134.79778
959000000,-10.270891,134.75035
963500000,-10.37033,134.97324
968000000,-10.407342,134.72461
972500000,-10.473305,134.67474
977000000,-10.50218,135.54253
981500000,-10.424475,136.39186
986000000,-10.356612,137.28098
990500000,-10.34785,138.29614
995000000,-10.297142,140.22189
999500000,-10.151789,141.82155
1004000000,-10.117929,142.47791
1008500000,-10.194124,143.59897
1013000000,-10.097069,144.34644
1017500000,-10.047536,144.05151
1022000000,-10.036544,143.74435
1026500000,-9.9335909,143.78337
1031000000,-9.7627935,143.09241
1035500000,-9.6224756,141.82503
1040000000,-9.5600424,141.4231
1044500000,-9.3842239,141.31659
1049000000,-9.205369,140.65878
1053500000,-9.1788874,139.9299
1058000000,-9.1723757,139.84677
1062500000,-9.0431538,139.08649
1067000000,-9.0340605,137.65195
1071500000,-9.0755301,136.49545
1076000000,-9.0086842,135.74498
