!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Wednesday, September 28, 2022 12:47:15,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S12(DB),S12(DEG),
500000000,-69.570221,173.55002,
504500000,-70.701698,19.544704,
509000000,-68.80571,-120.30698,
513500000,-65.941956,1.7603711,
518000000,-77.625519,-68.500717,
522500000,-71.37812,-136.86519,
527000000,-76.953697,-155.61365,
531500000,-71.025185,-73.703804,
536000000,-78.537048,-36.667149,
540500000,-67.599693,-21.377096,
545000000,-66.573662,74.575859,
549500000,-73.842155,-49.777176,
554000000,-74.145096,-50.846375,
558500000,-86.820961,167.69319,
563000000,-71.153198,-43.093575,
567500000,-66.279869,-28.560625,
572000000,-66.337196,110.61156,
576500000,-68.498634,-57.640636,
581000000,-69.875755,103.07364,
585500000,-69.691788,-70.135986,
590000000,-83.530212,90.674492,
594500000,-77.270622,-136.55971,
599000000,-78.396446,-19.627897,
603500000,-67.872101,-97.844048,
608000000,-69.352875,135.94058,
612500000,-78.163284,65.453026,
617000000,-71.921021,-121.67709,
621500000,-74.65406,155.86568,
626000000,-63.514179,-38.743851,
630500000,-72.484016,178.30229,
635000000,-66.168808,133.28535,
639500000,-71.594086,75.219391,
644000000,-81.998924,-29.907969,
648500000,-72.231628,129.07545,
653000000,-77.425476,167.96906,
657500000,-67.996803,-38.567955,
662000000,-69.046402,-45.924286,
666500000,-68.9151,171.01236,
671000000,-67.061813,142.0392,
675500000,-73.694672,120.45395,
680000000,-71.943008,169.94499,
684500000,-64.015144,-86.157341,
689000000,-78.794037,91.272179,
693500000,-77.026337,93.126846,
698000000,-71.469337,40.388557,
702500000,-83.912025,111.12511,
707000000,-67.594757,-10.148849,
711500000,-78.961021,-6.6583643,
716000000,-74.088203,-22.385706,
720500000,-66.805222,37.938351,
725000000,-70.87899,45.501743,
729500000,-68.414848,53.756279,
734000000,-71.09108,108.7789,
738500000,-70.252975,28.352459,
743000000,-83.601776,-9.6046638,
747500000,-69.033417,60.173012,
752000000,-66.386574,49.139458,
756500000,-81.085503,-150.22444,
761000000,-67.681992,149.33536,
765500000,-65.478722,-42.643501,
770000000,-69.325584,165.5172,
774500000,-64.80722,-22.932001,
779000000,-73.201164,-117.73238,
783500000,-68.663406,15.061046,
788000000,-69.213135,-3.613255,
792500000,-72.495316,-160.50681,
797000000,-65.617233,-66.715118,
801500000,-69.627937,-85.405891,
806000000,-70.568069,-121.26896,
810500000,-63.61137,-121.42033,
815000000,-70.607643,-137.98584,
819500000,-64.159706,-110.28902,
824000000,-72.291946,-123.40314,
828500000,-62.521858,-99.38385,
833000000,-68.475174,-133.06891,
837500000,-62.423763,-160.12279,
842000000,-76.920731,-80.123688,
846500000,-68.915688,178.11713,
851000000,-65.534981,20.749683,
855500000,-86.651123,-88.198631,
860000000,-71.12973,-178.49249,
864500000,-65.942429,176.38449,
869000000,-65.537216,111.62308,
873500000,-71.441307,178.11134,
878000000,-58.904633,138.10419,
882500000,-60.709927,139.16481,
887000000,-66.5588,114.0212,
891500000,-63.229424,105.13544,
896000000,-66.792015,164.71716,
900500000,-66.986786,37.272728,
905000000,-68.541176,177.59619,
909500000,-67.123032,114.85903,
914000000,-73.444244,134.8102,
918500000,-63.981628,93.050949,
923000000,-60.66531,104.1832,
927500000,-60.624004,63.916958,
932000000,-61.64888,55.743095,
936500000,-63.749958,73.239174,
941000000,-62.365143,32.101334,
945500000,-58.324112,52.685932,
950000000,-63.896305,23.325003,
954500000,-66.915955,37.607483,
959000000,-62.505135,56.562618,
963500000,-66.285774,16.176693,
968000000,-68.756989,-13.939848,
972500000,-63.490421,7.261385,
977000000,-68.440392,-102.3872,
981500000,-67.555382,9.1646061,
986000000,-74.767273,-29.146883,
990500000,-63.370461,57.224072,
995000000,-64.845116,86.040634,
999500000,-62.307457,98.081589,
1004000000,-58.935814,87.206352,
1008500000,-56.461842,63.227512,
1013000000,-53.296711,56.429626,
1017500000,-49.500069,31.239992,
1022000000,-48.889446,2.6714311,
1026500000,-49.21917,1.4407271,
1031000000,-47.804207,-9.4287491,
1035500000,-47.170097,-5.0681338,
1040000000,-45.404545,-10.350586,
1044500000,-42.733044,-22.435783,
1049000000,-40.745575,-40.483974,
1053500000,-39.205017,-58.402401,
1058000000,-38.491718,-76.023941,
1062500000,-38.55344,-91.481148,
1067000000,-37.787128,-98.206566,
1071500000,-36.479923,-109.18446,
1076000000,-34.827972,-121.18722,
1080500000,-33.558746,-140.25154,
1085000000,-32.520443,-160.90027,
1089500000,-32.605171,175.53775,
1094000000,-33.024315,155.0446,
1098500000,-34.353199,137.06845,
1103000000,-35.47435,127.2915,
1107500000,-36.045784,117.92879,
1112000000,-36.659416,108.51185,
1116500000,-37.765987,95.399391,
1121000000,-38.070915,94.35952,
1125500000,-37.810299,87.264915,
1130000000,-37.173882,78.386131,
1134500000,-37.747864,67.261375,
1139000000,-37.594658,62.936035,
1143500000,-37.128319,51.694214,
1148000000,-37.445534,40.240505,
1152500000,-37.346508,31.362869,
1157000000,-38.092026,15.945528,
1161500000,-39.07238,11.592098,
1166000000,-40.17112,5.0845141,
1170500000,-40.769855,6.3170705,
1175000000,-39.289234,8.8486643,
1179500000,-37.875843,3.1033397,
1184000000,-37.031132,-7.2522693,
1188500000,-36.922951,-21.133783,
1193000000,-36.911007,-32.088371,
1197500000,-37.307533,-42.296043,
1202000000,-37.789585,-47.671406,
1206500000,-38.103676,-50.402515,
1211000000,-37.350754,-55.233452,
1215500000,-36.700783,-62.464432,
1220000000,-35.934563,-70.860588,
1224500000,-35.38612,-84.42997,
1229000000,-35.405411,-100.55207,
1233500000,-35.929684,-113.17635,
1238000000,-36.554829,-124.81525,
1242500000,-37.495567,-131.85753,
1247000000,-38.726486,-135.72385,
1251500000,-39.313217,-135.98227,
1256000000,-38.90992,-134.48888,
1260500000,-37.600441,-136.00055,
1265000000,-36.257957,-143.91426,
1269500000,-34.966171,-158.25417,
1274000000,-34.880474,-175.28615,
1278500000,-35.434498,171.98383,
1283000000,-35.933468,161.94153,
1287500000,-36.449276,151.77917,
1292000000,-37.286774,144.98302,
1296500000,-38.120716,140.76653,
1301000000,-38.558659,140.13541,
1305500000,-38.12289,141.94144,
1310000000,-36.974754,136.67232,
1314500000,-36.095619,129.35287,
1319000000,-34.977566,116.38199,
1323500000,-35.425968,100.7991,
1328000000,-36.564667,85.652924,
1332500000,-38.412914,83.303963,
1337000000,-39.14439,84.18248,
1341500000,-39.061764,91.904137,
1346000000,-37.807384,91.786591,
1350500000,-36.232716,87.748062,
1355000000,-34.704067,75.055756,
1359500000,-34.020031,59.603203,
1364000000,-34.283978,45.512806,
1368500000,-34.74675,35.394859,
1373000000,-35.43409,26.989391,
1377500000,-35.849968,20.995815,
1382000000,-36.032997,16.577751,
1386500000,-35.636395,11.679523,
1391000000,-35.423531,5.5448174,
1395500000,-34.737019,-2.6538136,
1400000000,-34.466263,-12.687279,
1404500000,-34.313061,-22.809864,
1409000000,-35.161053,-32.090641,
1413500000,-35.461342,-37.313492,
1418000000,-35.870129,-43.0742,
1422500000,-35.544281,-46.370178,
1427000000,-35.164085,-49.186611,
1431500000,-34.974705,-56.26733,
1436000000,-34.407028,-57.320278,
1440500000,-33.274723,-62.963272,
1445000000,-32.207756,-75.410095,
1449500000,-31.914423,-90.645485,
1454000000,-32.227379,-102.77575,
1458500000,-32.789043,-111.48843,
1463000000,-33.10891,-116.36391,
1467500000,-33.296154,-123.5336,
1472000000,-33.044449,-127.47942,
1476500000,-32.222317,-133.30238,
1481000000,-31.485262,-142.6311,
1485500000,-31.126455,-158.03656,
1490000000,-31.375761,-170.71877,
1494500000,-31.706404,178.02127,
1499000000,-32.533199,168.9922,
1503500000,-33.063141,160.92009,
1508000000,-33.584911,155.71037,
1512500000,-34.025616,151.425,
1517000000,-33.800446,146.73364,
1521500000,-33.267044,141.0999,
1526000000,-32.810806,132.49051,
1530500000,-32.40313,119.16758,
1535000000,-32.687595,107.03442,
1539500000,-33.059982,97.005554,
1544000000,-33.782116,86.971611,
1548500000,-34.632427,78.680206,
1553000000,-35.044991,72.747025,
1557500000,-35.450787,68.857399,
1562000000,-35.938145,62.874371,
1566500000,-35.94194,58.821774,
1571000000,-35.720921,52.626072,
1575500000,-35.905201,45.558498,
1580000000,-36.351357,38.175152,
1584500000,-36.696602,32.977104,
1589000000,-36.629417,27.524538,
1593500000,-36.572922,24.353214,
1598000000,-36.289352,19.219982,
1602500000,-35.711914,11.531029,
1607000000,-35.901482,3.8323467,
1611500000,-35.916271,-7.8842554,
1616000000,-36.61504,-15.819495,
1620500000,-36.881012,-19.974918,
1625000000,-36.477783,-25.37948,
1629500000,-36.437744,-30.739792,
1634000000,-36.115646,-40.594166,
1638500000,-36.268631,-52.124943,
1643000000,-36.259907,-62.241768,
1647500000,-36.973763,-71.667595,
1652000000,-37.789005,-79.21524,
1656500000,-38.086948,-81.717682,
1661000000,-38.551117,-88.822258,
1665500000,-38.956692,-95.919136,
1670000000,-38.895359,-101.2758,
1674500000,-39.457962,-111.64417,
1679000000,-40.655449,-113.44059,
1683500000,-41.235653,-117.45577,
1688000000,-41.40538,-116.48509,
1692500000,-41.083748,-116.97466,
1697000000,-40.417862,-121.20854,
1701500000,-40.305573,-128.41495,
1706000000,-39.940384,-134.52394,
1710500000,-39.769341,-138.80219,
1715000000,-38.639538,-147.66191,
1719500000,-38.81538,-159.99797,
1724000000,-39.941769,-169.55489,
1728500000,-39.718845,-173.87827,
1733000000,-40.370911,-179.77258,
1737500000,-40.851791,174.81886,
1742000000,-40.508579,169.12398,
1746500000,-40.338245,163.6624,
1751000000,-40.107208,154.96211,
1755500000,-40.364361,144.20485,
1760000000,-40.862171,136.69762,
1764500000,-41.927834,131.54422,
1769000000,-42.015812,121.11148,
1773500000,-42.765659,117.54456,
1778000000,-43.357178,117.16874,
1782500000,-43.474182,114.75837,
1787000000,-43.277424,115.48737,
1791500000,-41.977421,107.469,
1796000000,-41.597054,97.739578,
1800500000,-42.04071,84.360008,
1805000000,-43.568989,70.634964,
1809500000,-45.100197,69.875237,
1814000000,-47.138371,71.806534,
1818500000,-47.645214,76.23082,
1823000000,-47.157303,93.093658,
1827500000,-46.365623,96.347183,
1832000000,-43.68161,92.418236,
1836500000,-42.215305,82.801903,
1841000000,-40.410988,71.268089,
1845500000,-41.141201,60.866188,
1850000000,-40.667934,47.694897,
1854500000,-41.540409,42.648724,
1859000000,-42.007271,33.972019,
1863500000,-42.924274,29.012028,
1868000000,-42.978794,29.609602,
1872500000,-43.124313,27.170052,
1877000000,-41.918098,28.742853,
1881500000,-41.26894,26.576237,
1886000000,-40.136452,20.004894,
1890500000,-39.290447,11.490565,
1895000000,-38.590454,3.1811912,
1899500000,-37.98814,-6.2759066,
1904000000,-38.114265,-17.503174,
1908500000,-38.063583,-26.887442,
1913000000,-37.750626,-34.161461,
1917500000,-37.929386,-44.539894,
1922000000,-37.58572,-50.478771,
1926500000,-37.597137,-62.811993,
1931000000,-38.283447,-70.616081,
1935500000,-38.45433,-73.831192,
1940000000,-37.798901,-80.959549,
1944500000,-37.649376,-82.435555,
1949000000,-37.149307,-89.595108,
1953500000,-36.359776,-103.79965,
1958000000,-36.055618,-113.87634,
1962500000,-36.315075,-127.45708,
1967000000,-36.733578,-137.84636,
1971500000,-37.737087,-145.74319,
1976000000,-38.328449,-149.86116,
1980500000,-38.809017,-154.57179,
1985000000,-38.184868,-158.92654,
1989500000,-37.500046,-165.40283,
