!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Wednesday, September 28, 2022 12:43:35,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S11(DB),S11(DEG),
500000000,-0.2639865,165.6662,
504500000,-0.28606015,164.24583,
509000000,-0.24556026,162.72104,
513500000,-0.26139876,160.99873,
518000000,-0.24678867,159.59366,
522500000,-0.27034101,157.96765,
527000000,-0.26475322,156.31508,
531500000,-0.25776851,155.1021,
536000000,-0.251367,153.4803,
540500000,-0.28706741,151.86903,
545000000,-0.30145133,150.27821,
549500000,-0.28921679,148.67215,
554000000,-0.26940101,147.37335,
558500000,-0.29150712,145.83244,
563000000,-0.29461288,144.18767,
567500000,-0.30564195,142.5251,
572000000,-0.31253886,140.91039,
576500000,-0.30795899,139.26234,
581000000,-0.30854586,137.99287,
585500000,-0.28088683,136.20964,
590000000,-0.32068989,134.8997,
594500000,-0.32014018,133.38977,
599000000,-0.27836227,131.77505,
603500000,-0.32611814,130.22325,
608000000,-0.33138829,128.89983,
612500000,-0.30323213,127.3503,
617000000,-0.33826736,125.96316,
621500000,-0.33243018,124.39708,
626000000,-0.32265353,123.02224,
630500000,-0.33814177,121.65974,
635000000,-0.30855042,120.21577,
639500000,-0.33324304,118.72315,
644000000,-0.34940144,117.27213,
648500000,-0.35619211,115.8118,
653000000,-0.35935506,114.30579,
657500000,-0.3636879,112.6543,
662000000,-0.33385584,111.40721,
666500000,-0.37153485,109.74086,
671000000,-0.36176103,108.1985,
675500000,-0.35301802,106.64193,
680000000,-0.37686619,105.23508,
684500000,-0.35132539,103.73492,
689000000,-0.34099925,102.28043,
693500000,-0.38395593,100.81538,
698000000,-0.3532708,99.146172,
702500000,-0.3704493,98.16243,
707000000,-0.36259705,96.339584,
711500000,-0.3398577,94.942284,
716000000,-0.35754505,93.688889,
720500000,-0.36385596,92.040077,
725000000,-0.37647465,90.852173,
729500000,-0.37821105,89.306213,
734000000,-0.36237082,88.018433,
738500000,-0.38062021,86.430222,
743000000,-0.37096289,85.318428,
747500000,-0.38986674,83.834282,
752000000,-0.39138871,82.311165,
756500000,-0.37568927,81.007256,
761000000,-0.38420284,79.373924,
765500000,-0.3824819,77.737099,
770000000,-0.40210098,76.568329,
774500000,-0.42397526,74.812027,
779000000,-0.43084973,73.189796,
783500000,-0.39871171,72.064041,
788000000,-0.40666074,70.254974,
792500000,-0.42794678,68.674553,
797000000,-0.40879804,67.593132,
801500000,-0.41391793,65.881424,
806000000,-0.4444131,64.822395,
810500000,-0.38355103,63.26516,
815000000,-0.43049228,61.713684,
819500000,-0.45819184,60.38715,
824000000,-0.4249371,59.201839,
828500000,-0.4239997,57.66399,
833000000,-0.42750058,56.377533,
837500000,-0.4126094,54.868229,
842000000,-0.42337981,53.317802,
846500000,-0.44797263,52.023716,
851000000,-0.39806348,50.571232,
855500000,-0.46222162,48.829762,
860000000,-0.45918739,47.518459,
864500000,-0.43791616,46.042397,
869000000,-0.41064,44.454777,
873500000,-0.47235927,42.918976,
878000000,-0.41786465,41.360432,
882500000,-0.4308351,39.771019,
887000000,-0.45923516,38.028961,
891500000,-0.48391283,36.691231,
896000000,-0.46516895,35.208164,
900500000,-0.43767881,33.655518,
905000000,-0.44184029,32.120022,
909500000,-0.44980976,30.642647,
914000000,-0.47826838,29.17775,
918500000,-0.46356678,27.841841,
923000000,-0.47747141,26.132507,
927500000,-0.48742568,24.704866,
932000000,-0.51102853,23.098722,
936500000,-0.47688234,21.814358,
941000000,-0.49747074,19.871191,
945500000,-0.50717813,18.327488,
950000000,-0.5212726,16.92005,
954500000,-0.5315268,15.033008,
959000000,-0.52175272,13.273795,
963500000,-0.54288507,11.667488,
968000000,-0.53977674,9.5828314,
972500000,-0.56827545,7.6572614,
977000000,-0.57649386,5.9880061,
981500000,-0.54652631,3.8732941,
986000000,-0.57252485,1.9383844,
990500000,-0.60674387,0.24668849,
995000000,-0.59262562,-2.2183342,
999500000,-0.66059387,-4.1671667,
1004000000,-0.6591568,-6.1685219,
1008500000,-0.64515734,-8.5882673,
1013000000,-0.77067453,-10.93319,
1017500000,-0.8023175,-12.750108,
1022000000,-0.79002374,-15.41732,
1026500000,-0.96340561,-18.1912,
1031000000,-1.0479174,-20.312588,
1035500000,-1.0650332,-23.586613,
1040000000,-1.3004726,-27.18297,
1044500000,-1.4581801,-30.044336,
1049000000,-1.6217425,-34.31715,
1053500000,-2.0109851,-38.924034,
1058000000,-2.5083663,-43.2635,
1062500000,-3.0912838,-48.490723,
1067000000,-4.0719523,-54.332306,
1071500000,-5.4349613,-58.771175,
1076000000,-7.254251,-61.806362,
1080500000,-9.8076763,-60.554977,
1085000000,-12.793573,-47.751064,
1089500000,-13.835908,-19.256319,
1094000000,-11.617917,1.5093819,
1098500000,-9.1910391,7.3340659,
1103000000,-7.4659791,7.1457429,
1107500000,-6.2844148,5.0597854,
1112000000,-5.3858304,2.4716163,
1116500000,-4.7419353,-0.39044058,
1121000000,-4.2537622,-2.761585,
1125500000,-3.7866638,-5.1252351,
1130000000,-3.3841243,-7.6863766,
1134500000,-2.9287982,-9.4478073,
1139000000,-2.5237906,-14.191003,
1143500000,-2.6569099,-17.38201,
1148000000,-2.5837324,-19.093725,
1152500000,-2.410037,-21.127203,
1157000000,-2.2992315,-23.871338,
1161500000,-2.2902055,-26.122662,
1166000000,-2.1730862,-28.243422,
1170500000,-2.0957196,-30.816349,
1175000000,-2.1317527,-33.299713,
1179500000,-2.079443,-35.161846,
1184000000,-2.0684464,-37.767124,
1188500000,-2.1099327,-39.988785,
1193000000,-2.0760515,-41.855545,
1197500000,-2.0637739,-44.284367,
1202000000,-2.1945245,-46.303326,
1206500000,-2.1849561,-47.803387,
1211000000,-2.2286646,-49.863132,
1215500000,-2.3054717,-51.033165,
1220000000,-2.2689054,-52.272655,
1224500000,-2.2465668,-54.233948,
1229000000,-2.3068018,-56.032726,
1233500000,-2.3351884,-56.909904,
1238000000,-2.2649257,-58.865562,
1242500000,-2.3412056,-60.707638,
1247000000,-2.3926375,-62.110367,
1251500000,-2.3888855,-64.457634,
1256000000,-2.5813556,-65.941902,
