"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.0393360629408811
0.509,-0.0406895900519745
0.518,-0.0421090523132966
0.527,-0.0435994233714306
0.536,-0.0451660500883349
0.545,-0.0468146776622393
0.554,-0.0485514768265294
0.563,-0.0503830733150601
0.572,-0.052316579797776
0.581,-0.0543596305072279
0.59,-0.0565204187945567
0.599,-0.0588077378728356
0.608,-0.0612310250265623
0.617,-0.0638004095883939
0.626,-0.0665267650082949
0.635,-0.0694217653657704
0.644,-0.0724979467033827
0.653,-0.0757687735887199
0.662,-0.0792487113428936
0.671,-0.0829533044061009
0.68,-0.0868992613449783
0.689,-0.0911045470421077
0.698,-0.0955884826448561
0.707,-0.100371853888695
0.716,-0.105477028448617
0.725,-0.11092808301067
0.734,-0.116750940793697
0.743,-0.1229735202876
0.752,-0.129625896008198
0.761,-0.136740472098571
0.77,-0.144352169630545
0.779,-0.152498628476209
0.788,-0.161220424624857
0.797,-0.170561303812829
0.806,-0.180568432308339
0.815,-0.191292665646304
0.824,-0.202788836033906
0.833,-0.215116059039827
0.842,-0.228338060032106
0.851,-0.242523520631859
0.86,-0.257746445194035
0.869,-0.274086547000447
0.878,-0.291629653441888
0.887,-0.310468128962154
0.896,-0.330701313921381
0.905,-0.352435976793858
0.914,-0.375786776228956
0.923,-0.400876728456101
0.932,-0.427837674289057
0.941,-0.456810738565899
0.95,-0.48794677323653
0.959,-0.521406773471723
0.968,-0.557362254115505
0.977,-0.595995571544483
0.986,-0.637500173555346
0.995,-0.682080757311935
1.004,-0.729953312704895
1.013,-0.781345025791617
1.022,-0.836494014403455
1.031,-0.895648865673542
1.04,-0.959067943329038
1.049,-1.02701843131773
1.058,-1.09977507994346
1.067,-1.17761862143708
1.076,-1.26083382407236
1.085,-1.34970715783171
1.094,-1.44452405049169
1.103,-1.54556572104015
1.112,-1.6531055876784
1.121,-1.76740526030879
1.13,-1.88871014221886
1.139,-2.01724468232836
1.148,-2.15320733735742
1.157,-2.29676532190591
1.166,-2.4480492428446
1.175,-2.60714773162674
1.184,-2.77410220310622
1.193,-2.9489018812033
1.202,-3.13147923943445
1.211,-3.32170600728387
1.22,-3.51938989130361
1.229,-3.72427215267641
1.238,-3.93602617107117
1.247,-4.15425710853418
1.256,-4.37850276760937
1.265,-4.60823571560249
1.274,-4.84286672249877
1.283,-5.08174953386092
1.292,-5.32418697209825
1.301,-5.56943832951922
1.31,-5.81672798405797
1.319,-6.06525513298562
1.328,-6.31420450102297
1.337,-6.56275783736578
1.346,-6.81010597236925
1.355,-7.05546116119421
1.364,-7.29806940184361
1.373,-7.53722238284284
1.382,-7.77226869594005
1.391,-8.00262394607519
1.4,-8.22777940804308
1.409,-8.44730891867589
1.418,-8.66087375467425
1.427,-8.86822532657975
1.436,-9.06920561352359
1.445,-9.26374536412234
1.454,-9.45186018799642
1.463,-9.63364475167486
1.472,-9.80926536504895
1.481,-9.97895129497097
1.49,-10.1429851685164
1.499,-10.3016928299373
1.508,-10.4554329948988
1.517,-10.6045870074685
1.526,-10.7495489548172
1.535,-10.8907163372972
1.544,-11.0284814327246
1.553,-11.1632234377291
1.562,-11.2953014192825
1.571,-11.4250480681654
1.58,-11.5527642143011
1.589,-11.6787140418363
1.598,-11.8031209291723
1.607,-11.9261638350521
1.616,-12.0479741552574
1.625,-12.1686329844093
1.634,-12.2881687327581
1.643,-12.4065550677786
1.652,-12.5237091740192
1.661,-12.6394903512035
1.67,-12.7536989992427
1.679,-12.8660760686294
1.688,-12.9763030844421
1.697,-13.0840028802959
1.706,-13.1887412029304
1.715,-13.2900293660805
1.724,-13.3873281406145
1.733,-13.4800530630075
1.742,-13.5675813222627
1.751,-13.6492603429206
1.76,-13.7244181163126
1.769,-13.7923752429965
1.778,-13.8524585382726
1.787,-13.9040159251139
1.796,-13.9464322038409
1.805,-13.9791451581069
1.814,-14.0016613475912
1.823,-14.013570865409
1.832,-14.014560317199
1.841,-14.0044233192562
1.85,-13.9830679180691
1.859,-13.9505204978222
1.868,-13.9069259517909
1.877,-13.8525441271002
1.886,-13.7877427851198
1.895,-13.7129875270866
1.904,-13.6288292956479
1.913,-13.5358901643561
1.922,-13.4348481637901
1.931,-13.3264218685048
1.94,-13.2113553938245
1.949,-13.0904043402918
1.958,-12.9643230925322
1.967,-12.8338537435931
1.976,-12.6997167879139
1.985,-12.5626036147959
1.994,-12.423170744594
2.003,-12.2820356835115
2.012,-12.139774228939
2.021,-11.9969190330611
