"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.037786102529385
0.509,-0.0393455501813132
0.518,-0.040990912575107
0.527,-0.0427279615140344
0.536,-0.0445629197354734
0.545,-0.0465024981444947
0.554,-0.0485539363634266
0.563,-0.0507250469159104
0.572,-0.0530242633964484
0.581,-0.0554606930126846
0.59,-0.0580441739276661
0.599,-0.060785337873699
0.608,-0.0636956785585328
0.617,-0.0667876264392109
0.626,-0.070074630499227
0.635,-0.0735712477315832
0.644,-0.0772932411046512
0.653,-0.0812576868698224
0.662,-0.085483092161162
0.671,-0.0899895239380769
0.68,-0.0947987504338347
0.689,-0.0999343963961605
0.698,-0.105422113542961
0.707,-0.111289767806965
0.716,-0.117567645109685
0.725,-0.124288677588503
0.734,-0.13148869240256
0.743,-0.139206685464783
0.752,-0.147485122690224
0.761,-0.156370271616302
0.77,-0.165912566539687
0.779,-0.176167010628333
0.788,-0.187193618806401
0.797,-0.199057905574271
0.806,-0.211831422315319
0.815,-0.22559234905391
0.824,-0.240426146062419
0.833,-0.256426271164871
0.842,-0.273694969044397
0.851,-0.292344139322453
0.86,-0.312496290627131
0.869,-0.334285588290111
0.878,-0.357859003685547
0.887,-0.383377573522875
0.896,-0.411017777595306
0.905,-0.440973043525338
0.914,-0.473455386887264
0.923,-0.50869719466415
0.932,-0.546953159242716
0.941,-0.588502368983012
0.95,-0.633650559731205
0.959,-0.682732529377074
0.968,-0.736114714595087
0.977,-0.794197925157935
0.986,-0.857420226600212
0.995,-0.926259956498924
1.004,-1.00123885324553
1.013,-1.08292526901907
1.022,-1.17193743096639
1.031,-1.26894670676421
1.04,-1.37468082341863
1.049,-1.48992698228238
1.058,-1.61553481012224
1.067,-1.75241908733821
1.076,-1.90156220225778
1.085,-2.06401629739154
1.094,-2.24090510265141
1.103,-2.43342549515229
1.112,-2.64284888890195
1.121,-2.87052264404015
1.13,-3.11787179781533
1.139,-3.38640156152393
1.148,-3.67770120251984
1.157,-3.9934501420433
1.166,-4.33542735372529
1.175,-4.70552545388924
1.184,-5.10577125043928
1.193,-5.53835499252637
1.202,-6.00567119018346
1.211,-6.51037473811796
1.22,-7.05545732243213
1.229,-7.64435094417671
1.238,-8.28106823886038
1.247,-8.97039374105328
1.256,-9.71814742719591
1.265,-10.531553696501
1.274,-11.4197689594057
1.283,-12.3946559502414
1.292,-13.4719562065083
1.301,-14.6731318217141
1.31,-16.0283844296565
1.319,-17.581851074264
1.328,-19.4010368913763
1.337,-21.5947897324778
1.346,-24.3472530711843
1.355,-27.9529868224187
1.364,-32.3281155937645
1.373,-32.981273117168
1.382,-29.0638758854764
1.391,-25.7097091701608
1.4,-23.2480067166526
1.409,-21.3741509986256
1.418,-19.8896043869541
1.427,-18.6770433468239
1.436,-17.663899034968
1.445,-16.8027547068716
1.454,-16.0611086632183
1.463,-15.4157795596836
1.472,-14.8496822184158
1.481,-14.3498765846622
1.49,-13.9063356140495
1.499,-13.5111379288545
1.508,-13.1579216435428
1.517,-12.8415044716995
1.526,-12.5576129919332
1.535,-12.3026855334059
1.544,-12.0737259141807
1.553,-11.8681930632631
1.562,-11.6839164522815
1.571,-11.5190304136122
1.58,-11.3719224962361
1.589,-11.2411924046763
1.598,-11.1256190207925
1.607,-11.0241336728617
1.616,-10.9357982865164
