"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.184170650637942
0.509,-0.201303405344042
0.518,-0.218940023502791
0.527,-0.237211512924298
0.536,-0.256267425305105
0.545,-0.276277761911793
0.554,-0.297435033978968
0.563,-0.319956474439313
0.572,-0.344086391363771
0.581,-0.370098645246676
0.59,-0.398299221618736
0.599,-0.429028856986472
0.608,-0.46266565936581
0.617,-0.499627644344184
0.626,-0.540375083438718
0.635,-0.585412533508823
0.644,-0.635290384464272
0.653,-0.690605728313899
0.662,-0.752002317220566
0.671,-0.820169343997088
0.68,-0.895838748708553
0.689,-0.979780734098399
0.698,-1.07279716576203
0.707,-1.17571254637007
0.716,-1.28936229292655
0.725,-1.414578117384
0.734,-1.55217041729348
0.743,-1.70290772453746
0.752,-1.86749343187901
0.761,-2.04654020878999
0.77,-2.2405427139555
0.779,-2.44984939190735
0.788,-2.6746342839171
0.797,-2.91486986984549
0.806,-3.17030197698547
0.815,-3.44042774494743
0.824,-3.72447753776224
0.833,-4.02140157501731
0.842,-4.32986195185165
0.851,-4.64823067303228
0.86,-4.97459436910948
0.869,-5.30676650045867
0.878,-5.64230806197336
0.887,-5.97855801047001
0.896,-6.31267474047348
0.905,-6.64168979331468
0.914,-6.96257445533154
0.923,-7.2723188755342
0.932,-7.56802179382661
0.941,-7.84698704419658
0.95,-8.10682098316829
0.959,-8.34552334301091
0.968,-8.56156322946764
0.977,-8.75393248473399
0.986,-8.92217056126713
0.995,-9.06635817097362
1.004,-9.1870807048598
1.013,-9.2853659844832
1.022,-9.36260358029412
1.031,-9.42045425297708
1.04,-9.46075795914725
1.049,-9.48544757332117
1.058,-9.49647348086167
1.067,-9.49574199474083
1.076,-9.48506854849928
1.085,-9.46614506321222
1.094,-9.44051986132132
1.103,-9.4095879686852
1.112,-9.37458950529406
1.121,-9.33661399132018
1.13,-9.29660867494593
1.139,-9.25538933288669
1.148,-9.21365234296725
1.157,-9.1719871445862
1.166,-9.13088847031115
1.175,-9.09076794573796
1.184,-9.05196481816132
1.193,-9.01475569431047
1.202,-8.97936325142812
1.211,-8.94596394215167
1.22,-8.91469474891491
1.229,-8.88565906365567
1.238,-8.8589317780234
1.247,-8.8345636714857
1.256,-8.81258518229219
1.265,-8.79300964100581
1.274,-8.7758360395439
1.283,-8.76105140125692
1.292,-8.74863281008521
1.301,-8.73854914962961
1.31,-8.73076259625984
1.319,-8.72522990426936
1.328,-8.72190351560648
1.337,-8.7207325218644
1.346,-8.7216635019672
1.355,-8.72464125530021
1.364,-8.72960944685055
1.373,-8.73651117819444
1.382,-8.74528949583954
1.391,-8.75588784645578
1.4,-8.76825048686135
1.409,-8.78232285523167
1.418,-8.79805190883212
1.427,-8.81538643260805
1.436,-8.83427732216967
1.445,-8.85467784406
1.454,-8.87654387566942
1.463,-8.89983412674118
1.472,-8.9245103440821
1.481,-8.95053750083617
1.49,-8.97788397148476
1.499,-9.00652169359241
1.508,-9.03642631721439
1.517,-9.06757734281099
1.526,-9.09995824846835
1.535,-9.13355660719971
1.544,-9.16836419508895
1.553,-9.2043770910365
1.562,-9.24159576887188
1.571,-9.28002518260527
1.58,-9.31967484559896
1.589,-9.36055890444807
1.598,-9.40269620836612
1.607,-9.44611037487417
1.616,-9.49082985259263
1.625,-9.53688798193075
1.634,-9.58432305446187
1.643,-9.63317837176201
1.652,-9.68350230447601
1.661,-9.73534835236057
1.67,-9.78877520603664
1.679,-9.84384681116757
1.688,-9.90063243576344
1.697,-9.95920674129884
1.706,-10.0196498583215
1.715,-10.0820474672246
1.724,-10.1464908848574
1.733,-10.2130771576596
1.742,-10.2819091620245
