!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 12:22:09
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-73.563278,-75.730698
504500000,-73.864037,-99.259895
509000000,-66.279785,-95.124405
513500000,-71.165512,-53.271679
518000000,-71.875359,38.266888
522500000,-70.20932,120.68271
527000000,-78.714767,63.820442
531500000,-63.764095,-2.7056086
536000000,-80.212173,14.712254
540500000,-65.797226,-88.126534
545000000,-68.672081,29.599756
549500000,-73.899002,86.007172
554000000,-82.749107,-47.176693
558500000,-67.395279,-91.043167
563000000,-86.44178,6.2405443
567500000,-69.77475,154.58467
572000000,-68.588554,34.603966
576500000,-64.962944,109.72729
581000000,-74.056808,-79.274483
585500000,-77.921638,103.37057
590000000,-65.203796,-20.505888
594500000,-82.850845,-172.76453
599000000,-88.766777,40.301342
603500000,-77.628738,14.822739
608000000,-77.467926,-178.79427
612500000,-74.082359,13.199632
617000000,-70.039665,156.87686
621500000,-64.427635,40.046555
626000000,-66.078972,156.73627
630500000,-72.501732,1.33225
635000000,-64.198624,-36.953491
639500000,-77.799187,-111.90745
644000000,-75.132561,-73.930771
648500000,-77.219917,19.390015
653000000,-70.640999,1.628554
657500000,-73.171394,56.679188
662000000,-75.258286,-142.23846
666500000,-69.260193,-132.54379
671000000,-67.699547,-70.661743
675500000,-65.691078,150.8783
680000000,-68.236717,78.106743
684500000,-79.038406,65.116554
689000000,-74.865608,130.1983
693500000,-72.187691,63.662281
698000000,-72.773094,84.746613
702500000,-75.102356,-91.647591
707000000,-67.759483,-142.07495
711500000,-67.660416,165.79326
716000000,-75.439568,105.08186
720500000,-68.616829,66.400078
725000000,-69.208084,54.100449
729500000,-69.787598,81.789368
734000000,-72.918312,72.035789
738500000,-84.167961,91.328041
743000000,-62.041191,177.87228
747500000,-74.576164,20.062292
752000000,-67.493279,-148.31067
756500000,-72.379013,5.6954021
761000000,-83.876022,65.237381
765500000,-74.215454,168.95462
770000000,-83.499527,100.56418
774500000,-64.523407,136.6389
779000000,-67.180954,65.607002
783500000,-73.48468,-125.29377
788000000,-69.800941,92.98909
792500000,-71.237679,161.11703
797000000,-74.501236,31.928738
801500000,-62.080055,64.060738
806000000,-65.909203,42.966393
810500000,-70.909126,107.77146
