!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Wednesday, September 28, 2022 12:23:13,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S22(DB),S22(DEG),
500000000,-1.2516043,-158.38249,
504500000,-1.2599602,-159.53596,
509000000,-1.2536881,-160.71588,
513500000,-1.2510142,-161.75464,
518000000,-1.2513753,-162.98018,
522500000,-1.2670356,-164.32391,
527000000,-1.2971617,-165.64235,
531500000,-1.2998637,-167.05653,
536000000,-1.3369938,-168.46571,
540500000,-1.3505211,-169.98256,
545000000,-1.352326,-171.22954,
549500000,-1.3656763,-172.72389,
554000000,-1.3698698,-174.03136,
558500000,-1.3647033,-175.42844,
563000000,-1.3748924,-176.71941,
567500000,-1.3851614,-178.11526,
572000000,-1.4065028,-179.43047,
576500000,-1.4358647,179.22552,
581000000,-1.4535472,177.94368,
585500000,-1.4669639,176.69748,
590000000,-1.4743967,175.40326,
594500000,-1.5150622,174.245,
599000000,-1.5289443,173.10332,
603500000,-1.5442988,172.0412,
608000000,-1.5624171,171.0289,
612500000,-1.5902394,169.66788,
617000000,-1.6376297,168.63849,
621500000,-1.6594956,167.30736,
626000000,-1.7058301,166.28513,
630500000,-1.7354851,164.96069,
635000000,-1.8073095,163.62274,
639500000,-1.8497276,162.20767,
644000000,-1.8900783,160.7946,
648500000,-1.9339583,159.54999,
653000000,-1.969878,158.05772,
657500000,-1.9748017,156.72635,
662000000,-1.987553,155.47534,
666500000,-2.0215487,154.37355,
671000000,-2.0317318,153.02521,
675500000,-2.0398064,151.76208,
680000000,-2.0195708,150.78587,
684500000,-2.053978,149.24768,
689000000,-2.0907528,147.9521,
693500000,-2.1433699,146.51625,
698000000,-2.1820316,145.26802,
702500000,-2.205044,144.18546,
707000000,-2.2478173,143.1243,
711500000,-2.2407181,141.94028,
716000000,-2.2713602,140.89632,
720500000,-2.2941844,139.95499,
725000000,-2.3534074,138.77255,
729500000,-2.4422147,137.58727,
734000000,-2.4940512,136.1295,
738500000,-2.5633302,134.49855,
743000000,-2.6449862,132.96661,
747500000,-2.7281866,131.45667,
752000000,-2.7734475,130.08133,
756500000,-2.8428829,128.43439,
761000000,-2.8904517,126.64814,
765500000,-2.9695253,125.29318,
770000000,-3.0261767,123.88877,
774500000,-3.0284958,122.25115,
779000000,-3.2300725,120.78407,
783500000,-3.3141658,120.30078,
788000000,-3.3010921,118.64753,
792500000,-3.4638662,116.69417,
797000000,-3.6605132,116.09589,
801500000,-3.6992748,115.37903,
806000000,-3.7206428,113.88982,
810500000,-3.9154999,112.85088,
815000000,-3.9898643,112.97288,
819500000,-3.9266281,112.35917,
824000000,-4.0254583,110.78191,
828500000,-4.228291,110.43073,
833000000,-4.2341871,110.26717,
837500000,-4.2689815,108.72656,
842000000,-4.4482851,106.72128,
846500000,-4.6103539,106.05386,
851000000,-4.6357064,104.90804,
855500000,-4.7458901,102.88902,
860000000,-4.9755058,101.40809,
864500000,-5.0493202,100.86207,
869000000,-4.9933748,99.405159,
873500000,-5.0663228,97.578842,
878000000,-5.1642118,96.898048,
882500000,-5.1617765,96.192589,
887000000,-5.138391,94.28508,
891500000,-5.323494,93.029976,
896000000,-5.4208808,92.749184,
900500000,-5.4081626,91.334763,
905000000,-5.432384,89.477135,
909500000,-5.6285686,88.085648,
914000000,-5.6721268,87.236923,
918500000,-5.6165986,85.694664,
923000000,-5.7780876,84.221489,
927500000,-5.9681878,83.863953,
932000000,-6.0021672,83.206757,
936500000,-6.167418,81.393394,
941000000,-6.3976526,80.697037,
945500000,-6.5873675,80.147118,
950000000,-6.6903625,78.564583,
954500000,-6.886476,75.977272,
959000000,-7.1220832,74.101509,
963500000,-7.2841845,72.390732,
968000000,-7.3781786,69.805771,
972500000,-7.5536146,67.606911,
977000000,-7.7640791,66.099106,
981500000,-7.9403667,64.658012,
986000000,-8.0948639,63.355389,
990500000,-8.3714628,62.260571,
995000000,-8.5992031,61.615791,
999500000,-8.724081,60.174595,
1004000000,-8.9528017,58.401909,
1008500000,-9.200326,56.708252,
1013000000,-9.3870792,55.64109,
1017500000,-9.6182442,53.924419,
1022000000,-9.8930779,52.937954,
1026500000,-10.129579,52.433426,
1031000000,-10.459461,51.916168,
1035500000,-10.768683,51.409126,
1040000000,-11.19134,51.307278,
1044500000,-11.71121,51.23217,
1049000000,-12.228125,51.10006,
1053500000,-12.835679,50.83382,
1058000000,-13.459291,50.385433,
1062500000,-14.016944,49.797119,
1067000000,-14.50845,49.266575,
1071500000,-14.883872,48.517338,
1076000000,-15.099908,47.647793,
1080500000,-15.303886,46.611092,
1085000000,-15.547447,45.881554,
1089500000,-15.829798,45.576752,
1094000000,-16.183081,45.967579,
1098500000,-16.553762,46.683926,
1103000000,-17.035622,47.312237,
1107500000,-17.604795,48.155426,
1112000000,-18.312914,50.017834,
1116500000,-18.867136,52.295834,
1121000000,-19.23365,55.282791,
1125500000,-19.375679,59.386631,
1130000000,-19.239174,62.706745,
1134500000,-19.170481,66.604012,
1139000000,-18.992147,70.890839,
1143500000,-18.775143,75.220734,
1148000000,-18.616106,79.480133,
1152500000,-18.638025,84.464508,
1157000000,-18.711432,90.429253,
1161500000,-18.813725,95.031433,
1166000000,-19.045597,100.27964,
1170500000,-18.967604,105.56456,
1175000000,-18.717165,107.45888,
1179500000,-18.401314,108.13802,
1184000000,-18.148376,107.70757,
1188500000,-17.684315,106.15469,
1193000000,-17.173882,103.67106,
1197500000,-16.810282,101.51615,
1202000000,-16.380798,100.57966,
1206500000,-15.963655,99.00798,
1211000000,-15.75357,97.01992,
1215500000,-15.60763,96.450157,
1220000000,-15.371349,95.25161,
1224500000,-15.146806,92.781029,
1229000000,-15.053502,89.699303,
1233500000,-14.999424,88.078163,
1238000000,-14.656754,85.585655,
1242500000,-14.480893,83.536163,
1247000000,-14.358722,82.755302,
1251500000,-14.125624,82.929924,
1256000000,-13.823933,82.520546,
1260500000,-13.773087,81.891884,
1265000000,-13.970448,82.31218,
1269500000,-14.172788,83.134369,
1274000000,-14.479286,82.55658,
1278500000,-14.922647,82.763008,
1283000000,-15.378649,83.430305,
1287500000,-15.659433,82.786789,
1292000000,-15.982985,81.026581,
1296500000,-16.270252,79.983109,
1301000000,-16.259058,78.733978,
1305500000,-16.198294,76.9758,
1310000000,-16.295731,75.752998,
1314500000,-16.193775,76.046249,
1319000000,-16.080824,75.60466,
1323500000,-16.102522,74.96843,
1328000000,-16.268492,74.462486,
1332500000,-16.325342,74.062958,
1337000000,-16.293142,72.423828,
1341500000,-16.309654,70.558228,
1346000000,-16.323132,69.252281,
1350500000,-15.929307,68.001129,
1355000000,-15.716364,67.165199,
1359500000,-15.566137,66.921631,
1364000000,-15.348857,68.514046,
1368500000,-15.243964,69.591469,
1373000000,-15.246843,70.956734,
1377500000,-15.523039,73.397194,
1382000000,-15.707625,74.735886,
1386500000,-16.051104,75.035446,
1391000000,-16.606623,74.723412,
1395500000,-17.101679,73.932953,
1400000000,-17.486668,71.948036,
1404500000,-17.815046,69.412735,
1409000000,-18.206465,67.515869,
1413500000,-18.316484,66.370941,
1418000000,-18.315786,65.493042,
1422500000,-18.529184,65.041985,
1427000000,-18.683537,65.999741,
1431500000,-18.744442,66.123802,
1436000000,-18.881008,65.569374,
1440500000,-19.213854,64.150604,
1445000000,-19.394104,63.644047,
1449500000,-19.422827,61.826435,
1454000000,-19.470428,59.904968,
1458500000,-19.355328,59.660801,
1463000000,-19.124287,59.741425,
1467500000,-18.79631,62.035774,
1472000000,-18.518618,65.147011,
1476500000,-18.034584,69.384552,
1481000000,-17.562374,72.310646,
1485500000,-17.447523,75.043976,
1490000000,-17.383694,77.797806,
1494500000,-17.47089,79.606361,
1499000000,-17.759455,79.909752,
1503500000,-18.229975,79.754288,
1508000000,-18.845182,78.726555,
1512500000,-19.480316,76.655327,
1517000000,-19.869638,74.371735,
1521500000,-19.964714,71.851067,
1526000000,-20.187149,68.846992,
1530500000,-20.304295,67.946312,
1535000000,-20.318447,67.919113,
1539500000,-20.466312,66.468086,
1544000000,-20.962593,65.744469,
1548500000,-21.489323,65.562653,
1553000000,-22.0746,64.046646,
1557500000,-22.516027,62.396496,
1562000000,-22.847685,58.805832,
1566500000,-22.938704,56.990681,
1571000000,-22.609642,55.980598,
1575500000,-22.27319,57.251465,
1580000000,-21.784187,61.868427,
1584500000,-21.077463,67.130737,
1589000000,-20.47234,72.624565,
1593500000,-20.209961,78.740906,
1598000000,-19.960655,85.444054,
1602500000,-19.81995,90.419121,
1607000000,-20.056601,95.637276,
1611500000,-20.297298,99.777557,
1616000000,-20.468838,102.25028,
1620500000,-20.95998,102.49796,
1625000000,-21.420225,102.61369,
1629500000,-21.661783,102.87267,
1634000000,-21.523689,101.7047,
1638500000,-21.628494,101.4073,
1643000000,-21.480354,102.84019,
1647500000,-21.263838,103.32299,
1652000000,-21.23168,104.21925,
1656500000,-21.386856,105.53452,
1661000000,-21.470028,106.95341,
1665500000,-21.645082,106.4877,
1670000000,-22.021568,104.45065,
1674500000,-22.0784,101.58478,
1679000000,-21.766266,97.970383,
1683500000,-21.099981,94.336403,
1688000000,-20.482426,91.873581,
1692500000,-19.585812,91.625519,
1697000000,-18.645414,92.462685,
1701500000,-17.975937,94.21418,
1706000000,-17.544579,96.924347,
1710500000,-16.946449,100.47272,
1715000000,-16.661087,102.89101,
1719500000,-16.597387,105.20094,
1724000000,-16.691908,107.77919,
1728500000,-16.70945,109.35652,
1733000000,-16.88011,108.48779,
1737500000,-17.119183,108.0985,
1742000000,-17.109827,107.59529,
1746500000,-16.982975,105.15799,
1751000000,-16.981888,103.63176,
1755500000,-16.931623,103.82288,
1760000000,-16.756376,104.06256,
