!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 12:16:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
500000000,-0.86073244,-127.66641
504500000,-0.88060206,-128.79506
509000000,-0.88864148,-129.89784
513500000,-0.89788711,-130.91374
518000000,-0.90594256,-132.01091
522500000,-0.91803247,-133.16945
527000000,-0.96394813,-134.39154
531500000,-0.98999858,-135.70349
536000000,-1.0217952,-137.03648
540500000,-1.052019,-138.47234
545000000,-1.0718062,-139.89243
549500000,-1.1046374,-141.30959
554000000,-1.1114777,-142.6756
558500000,-1.1046103,-144.10123
563000000,-1.133082,-145.47318
567500000,-1.1599826,-146.92171
572000000,-1.1733571,-148.40468
576500000,-1.220096,-149.72571
581000000,-1.2535021,-151.02
585500000,-1.3123167,-152.57143
590000000,-1.3412421,-153.98953
594500000,-1.4037726,-155.2413
599000000,-1.4618604,-156.52832
603500000,-1.5287008,-157.71642
608000000,-1.5879366,-158.77991
612500000,-1.6418047,-160.16957
617000000,-1.7281283,-161.17139
621500000,-1.7926233,-162.27312
626000000,-1.8565246,-163.37354
630500000,-1.9166982,-164.38963
635000000,-2.0087807,-165.64355
639500000,-2.0922697,-166.61305
644000000,-2.166579,-167.85045
648500000,-2.226371,-169.01122
653000000,-2.256346,-170.44023
657500000,-2.262259,-171.75462
662000000,-2.2997005,-173.16069
666500000,-2.334259,-174.52463
671000000,-2.3315246,-175.96275
675500000,-2.330658,-177.19356
680000000,-2.3430443,-178.41457
684500000,-2.3898842,179.77376
689000000,-2.4634707,178.173
693500000,-2.5553403,176.67393
698000000,-2.6449664,175.2596
702500000,-2.7313833,173.84543
707000000,-2.8285956,172.56847
711500000,-2.8639948,171.23116
716000000,-2.9489298,170.20067
720500000,-3.0311992,169.17841
725000000,-3.1138635,168.03325
729500000,-3.2211695,167.01009
734000000,-3.3168221,165.75327
738500000,-3.4518006,164.14063
743000000,-3.5968065,162.52736
747500000,-3.7503345,161.21304
752000000,-3.8781111,159.81339
756500000,-4.0048995,158.16809
761000000,-4.1023755,156.52336
765500000,-4.1889515,155.06981
770000000,-4.2869453,153.52875
774500000,-4.3884559,152.19382
779000000,-4.4974661,150.59633
783500000,-4.6670327,149.2278
788000000,-4.8581824,147.98483
792500000,-5.0015965,146.94711
797000000,-5.1799722,145.71346
801500000,-5.381227,144.7283
806000000,-5.5289645,144.10764
810500000,-5.5921535,143.77084
815000000,-5.6564655,142.93878
819500000,-5.7087049,142.12125
824000000,-5.7836428,141.22255
828500000,-5.8813376,140.50076
833000000,-5.9862676,139.3755
837500000,-6.1980629,138.43835
842000000,-6.3700414,137.37856
846500000,-6.5489774,136.22484
851000000,-6.7725878,134.78172
855500000,-6.9974236,133.4455
860000000,-7.180038,132.1519
864500000,-7.2990594,130.69739
869000000,-7.414279,129.02766
873500000,-7.4866443,127.61823
878000000,-7.4869828,126.05017
882500000,-7.6210461,124.16001
887000000,-7.8154526,122.31025
891500000,-7.9840531,121.60055
896000000,-8.0834055,120.32377
900500000,-8.3497496,118.40432
905000000,-8.586586,117.17094
909500000,-8.8133411,115.99234
914000000,-8.9461012,114.22079
918500000,-9.1766787,112.68829
923000000,-9.3844595,112.14791
927500000,-9.5393906,111.65398
932000000,-9.7006569,110.2139
936500000,-10.088305,109.31774
941000000,-10.389542,109.69562
945500000,-10.605593,109.05423
950000000,-10.952055,107.04939
954500000,-11.439112,104.6245
959000000,-11.924112,102.07187
963500000,-12.484278,98.89817
968000000,-13.050351,95.668846
972500000,-13.567215,93.542252
977000000,-14.016678,91.313904
981500000,-14.589241,89.299858
986000000,-15.275598,88.942795
990500000,-15.834463,90.013733
995000000,-16.340292,90.199417
999500000,-16.972734,89.991196
1004000000,-17.765688,90.266479
1008500000,-18.513786,90.645546
1013000000,-19.230793,91.380669
1017500000,-20.193842,93.285797
1022000000,-20.657503,97.341423
1026500000,-20.70496,100.74386
1031000000,-21.040768,102.41646
1035500000,-21.554981,105.33775
1040000000,-22.072708,109.62611
1044500000,-22.929726,115.29242
1049000000,-24.217201,126.28854
1053500000,-25.057085,142.06792
1058000000,-25.124565,162.33998
1062500000,-24.005585,177.25993
1067000000,-22.554255,-172.45389
1071500000,-21.478222,-169.25177
1076000000,-20.660822,-169.23845
1080500000,-20.22575,-171.14058
1085000000,-19.950537,-172.51381
1089500000,-19.712465,-174.51057
1094000000,-19.313225,-176.76093
1098500000,-18.919819,-178.64537
1103000000,-18.62286,-178.45468
1107500000,-18.06975,-177.17491
1112000000,-17.502354,-176.73271
1116500000,-17.080591,-176.82664
1121000000,-16.653112,-176.3692
1125500000,-16.218222,-177.05229
1130000000,-15.72955,-179.52644
1134500000,-15.339586,177.75755
1139000000,-14.947592,174.75739
1143500000,-14.452414,171.40147
1148000000,-14.080637,168.24039
1152500000,-13.835276,166.29599
1157000000,-13.646495,166.38506
1161500000,-13.449459,166.88719
1166000000,-13.393747,167.96135
1170500000,-13.271188,170.11737
1175000000,-13.092991,171.74094
1179500000,-12.953385,171.66103
1184000000,-12.922584,171.22736
1188500000,-12.859902,170.68912
1193000000,-12.726047,168.12555
1197500000,-12.626987,165.64331
1202000000,-12.541382,163.1846
1206500000,-12.391414,161.26881
1211000000,-12.256119,159.24368
1215500000,-12.201874,157.38474
1220000000,-12.126183,156.30606
1224500000,-12.05584,154.83803
1229000000,-12.02044,152.48265
1233500000,-12.042577,150.68881
1238000000,-12.079639,148.16747
1242500000,-12.0064,145.77698
1247000000,-11.96978,143.67686
1251500000,-11.879272,141.8862
1256000000,-11.69988,140.41138
1260500000,-11.492719,139.48132
1265000000,-11.382827,139.06514
1269500000,-11.340303,139.4948
1274000000,-11.306577,139.80469
1278500000,-11.266367,139.97536
1283000000,-11.432079,140.11272
1287500000,-11.56468,140.04199
1292000000,-11.720684,139.174
1296500000,-11.892642,137.76022
1301000000,-12.126228,135.66901
1305500000,-12.263511,134.06711
1310000000,-12.327363,132.55128
1314500000,-12.293013,131.13017
1319000000,-12.270181,129.60803
1323500000,-12.211745,128.93005
1328000000,-12.14907,128.19182
1332500000,-12.146749,127.14731
1337000000,-12.203839,125.98788
1341500000,-12.207651,124.39691
1346000000,-12.143381,121.83861
1350500000,-12.158816,118.61687
1355000000,-12.094565,116.31555
1359500000,-11.958767,113.88807
1364000000,-11.776032,111.97846
1368500000,-11.732872,111.10261
1373000000,-11.632819,111.2616
1377500000,-11.572949,111.93451
1382000000,-11.590106,111.9689
1386500000,-11.747361,112.18536
1391000000,-12.0075,112.08054
1395500000,-12.223639,110.90892
1400000000,-12.670393,109.045
1404500000,-13.015715,107.41667
1409000000,-13.260429,105.08443
1413500000,-13.45483,102.27158
1418000000,-13.639796,100.22233
1422500000,-13.792286,98.770065
1427000000,-13.794625,97.19278
1431500000,-13.911246,95.572472
1436000000,-14.214504,94.428734
1440500000,-14.433126,93.30912
1445000000,-14.663764,91.215103
1449500000,-15.01328,88.713631
1454000000,-15.296206,86.905716
1458500000,-15.307333,85.290657
1463000000,-15.305678,82.298874
1467500000,-15.336565,81.814423
1472000000,-15.207709,82.336906
1476500000,-14.981861,83.127739
1481000000,-14.895749,84.532059
1485500000,-14.907454,87.075272
1490000000,-14.845745,89.04586
1494500000,-14.991479,90.156952
1499000000,-15.275797,90.87632
1503500000,-15.656984,90.33979
1508000000,-16.213266,88.97464
1512500000,-16.859198,87.120918
1517000000,-17.220901,84.064812
1521500000,-17.489326,80.232811
1526000000,-17.773478,77.503174
1530500000,-17.817453,75.79995
1535000000,-17.753551,73.858376
1539500000,-17.96426,71.207336
1544000000,-18.366964,70.370407
1548500000,-18.673952,69.084511
1553000000,-19.134789,65.553032
1557500000,-19.7232,62.188435
1562000000,-19.976011,58.414169
1566500000,-20.051819,53.722725
1571000000,-20.004631,49.27713
1575500000,-20.021517,47.633492
1580000000,-19.884136,49.931526
1584500000,-19.699802,52.246113
1589000000,-19.753721,56.010101
1593500000,-20.09738,61.979301
1598000000,-20.373615,67.318047
1602500000,-21.024893,72.265503
1607000000,-21.904024,77.984253
1611500000,-22.668116,81.866821
1616000000,-23.671257,83.299477
1620500000,-24.932465,81.976799
1625000000,-26.241379,78.792122
1629500000,-26.923731,75.063553
1634000000,-27.342104,70.943199
1638500000,-27.729012,69.444183
1643000000,-27.728413,69.771896
1647500000,-27.899027,68.732773
1652000000,-28.567844,69.657349
1656500000,-29.506844,71.306137
1661000000,-30.742634,70.166931
1665500000,-32.159901,62.431049
1670000000,-33.030968,52.587261
1674500000,-32.256592,39.726868
1679000000,-30.992514,29.527031
1683500000,-29.555466,27.664803
1688000000,-28.525543,31.449354
1692500000,-27.373829,39.332642
1697000000,-26.947882,46.304966
1701500000,-26.791916,56.360432
1706000000,-27.153833,67.943436
1710500000,-27.330294,80.568939
1715000000,-28.130486,96.748093
1719500000,-28.753439,112.61282
1724000000,-29.314571,127.62125
1728500000,-29.909851,143.32935
1733000000,-30.260651,156.54224
1737500000,-30.854908,165.67107
1742000000,-31.85869,174.80302
1746500000,-31.933737,178.09706
1751000000,-31.789915,175.82552
1755500000,-31.294624,175.3125
1760000000,-30.40889,177.78253
1764500000,-29.300859,-179.15005
1769000000,-28.593218,-174.15942
1773500000,-27.97373,-167.75723
1778000000,-27.75469,-162.6088
1782500000,-28.332167,-156.93604
1787000000,-29.598534,-151.22894
1791500000,-31.510473,-149.73018
1796000000,-34.782719,-157.36603
1800500000,-38.672546,177.82899
1805000000,-36.292995,135.76569
1809500000,-31.684261,127.06506
1814000000,-28.423553,128.24811
