"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.230629460447099
0.509,-0.251044747852775
0.518,-0.273785521459816
0.527,-0.299150211288319
0.536,-0.327478796290297
0.545,-0.359158818428535
0.554,-0.394632224837129
0.563,-0.434403118004436
0.572,-0.479046484744198
0.581,-0.52921795571925
0.59,-0.58566461415762
0.599,-0.64923681953218
0.608,-0.720900932214248
0.617,-0.801752709678065
0.626,-0.893030983411488
0.635,-0.996131006873688
0.644,-1.11261657712609
0.653,-1.24422966624579
0.662,-1.39289584755428
0.671,-1.56072326767498
0.68,-1.74999231076358
0.689,-1.9631324508816
0.698,-2.2026821283354
0.707,-2.4712268544821
0.716,-2.77131017101927
0.725,-3.10531154882425
0.734,-3.47528473212705
0.743,-3.88274929049128
0.752,-4.32842715629553
0.761,-4.81191494445011
0.77,-5.33128301015032
0.779,-5.88259648886893
0.788,-6.45936810082512
0.797,-7.05198742737445
0.806,-7.64723904256627
0.815,-8.22812745050357
0.824,-8.77434486622095
0.833,-9.26375955690499
0.842,-9.67511273700304
0.851,-9.99158008685827
0.86,-10.2041486355261
0.869,-10.3134260469734
0.878,-10.3290336105581
0.887,-10.2669079129709
0.896,-10.1457566192886
0.905,-9.98395949244487
0.914,-9.79759281861585
0.923,-9.59959364371759
0.932,-9.39973094688316
0.941,-9.20500486012471
0.95,-9.02019481635707
0.959,-8.84839810264774
0.968,-8.6914895112325
0.977,-8.55048450941361
0.986,-8.42581287493648
0.995,-8.31751850297241
1.004,-8.22540211080997
1.013,-8.14912144899743
1.022,-8.08826066645367
1.031,-8.04237766191203
1.04,-8.01103592179548
1.049,-7.99382553997979
1.058,-7.99037677152361
1.067,-8.00036849559211
1.076,-8.02353326289136
1.085,-8.05966010630656
1.094,-8.10859594349618
1.103,-8.17024615505432
1.112,-8.24457475122442
1.121,-8.33160442243201
1.13,-8.43141668885746
1.139,-8.54415231121288
1.148,-8.67001209140124
1.157,-8.80925817272344
1.166,-8.96221594132355
1.175,-9.12927663138229
1.184,-9.31090074481854
1.193,-9.50762241121927
1.202,-9.72005483515749
1.211,-9.94889700609633
1.22,-10.1949418810562
1.229,-10.4590862925266
1.238,-10.7423428838667
1.247,-11.0458544310222
1.256,-11.3709109703767
1.265,-11.7189702119604
1.274,-12.0916817619504
1.283,-12.4909156816891
1.292,-12.918795819406
1.301,-13.3777380623909
1.31,-13.8704929716909
1.319,-14.4001907904754
1.328,-14.9703838030325
1.337,-15.5850749709119
1.346,-16.2487097188838
1.355,-16.9660837504597
1.364,-17.7420719697725
1.373,-18.5809886210467
1.382,-19.4852031349737
1.391,-20.4522910054398
1.4,-21.4694415620728
1.409,-22.5033115314603
1.418,-23.4845628654396
1.427,-24.2938368597004
1.436,-24.7745555301961
1.445,-24.8032143839131
1.454,-24.3789472023167
1.463,-23.624193650646
1.472,-22.6955364386261
1.481,-21.7127775739082
1.49,-20.7456275297062
1.499,-19.8276149884487
1.508,-18.9715948227385
1.517,-18.1799551790256
1.526,-17.4502501787825
1.535,-16.7780715590643
1.544,-16.1584444983036
1.553,-15.5864733168372
1.562,-15.0576153720366
1.571,-14.5677744949152
1.58,-14.1133096287588
1.589,-13.6910061609622
1.598,-13.2980332627698
1.607,-12.9318984058627
1.616,-12.5904041279974
1.625,-12.2716090822002
1.634,-11.9737939209637
1.643,-11.6954318748093
1.652,-11.435163592595
1.661,-11.1917757177678
1.67,-10.9641826765969
1.679,-10.7514111980258
1.688,-10.5525871432594
1.697,-10.3669242834301
1.706,-10.1937147197138
1.715,-10.0323206897874
1.724,-9.88216754705463
1.733,-9.74273773501159
1.742,-9.61356560917843
1.751,-9.49423298403326
1.76,-9.38436530312319
1.769,-9.28362834771914
1.778,-9.19172541363755
1.787,-9.10839489769687
1.796,-9.03340824514286
1.805,-8.96656821762445
1.814,-8.90770744822548
1.823,-8.85668725590063
1.832,-8.81339669662451
1.841,-8.77775183280419
1.85,-8.74969520616405
1.859,-8.72919550249814
1.868,-8.71624739949384
1.877,-8.71087159134239
1.886,-8.71311498613395
1.895,-8.7230510741508
1.904,-8.74078046717807
1.913,-8.76643161090072
1.922,-8.80016167440515
1.931,-8.8421576228104
1.94,-8.89263748118346
1.949,-8.95185180022016
1.958,-9.02008533678768
1.967,-9.0976589654355
1.976,-9.18493184052506
1.985,-9.28230383287346
1.994,-9.39021826996527
2.003,-9.50916501512797
2.012,-9.63968392892304
2.021,-9.78236876579664
2.03,-9.93787157127957
2.039,-10.1069076603622
2.048,-10.2902612768701
2.057,-10.4887920576505
2.066,-10.7034424552068
2.075,-10.9352463092661
2.084,-11.185338802804
2.093,-11.4549680922758
2.102,-11.7455089655395
2.111,-12.0584789530318
2.12,-12.3955573938388
2.129,-12.7586080276751
2.138,-13.1497057233272
2.147,-13.5711679166516
2.156,-14.0255911229828
2.165,-14.5158923256104
2.174,-15.0453537623323
2.183,-15.6176669234927
2.192,-16.2369660218175
2.201,-16.9078299583111
2.21,-17.6352091523399
2.219,-18.4241879042078
2.228,-19.2794009302502
2.237,-20.2037396993885
2.246,-21.1956350407874
2.255,-22.2436108111556
2.264,-23.316136619695
2.273,-24.3454998206092
2.282,-25.21149832127
2.291,-25.7506108010311
2.3,-25.8266990980298
2.309,-25.4300236183685
2.318,-24.6851241471095
2.327,-23.7563388826018
2.336,-22.769542982596
2.345,-21.7971725511179
2.354,-20.8733551982673
2.363,-20.0106409698475
2.372,-19.2108598745246
2.381,-18.4710254023324
2.39,-17.7862993386433
2.399,-17.1514088908522
2.408,-16.5612871929605
2.417,-16.0113332040997
2.426,-15.4974887955456
2.435,-15.016230885524
2.444,-14.5645268303935
2.453,-14.1397766540126
2.462,-13.7397534500911
2.471,-13.3625471866654
2.48,-13.0065140990363
2.489,-12.6702323498222
2.498,-12.3524638992152
2.507,-12.0521221822043
2.516,-11.7682450399576
2.525,-11.4999723029417
2.534,-11.2465274250514
2.543,-11.0072025963652
2.552,-10.7813468044008
2.561,-10.5683563629632
2.57,-10.3676674797875
2.579,-10.1787504865522
2.588,-10.0011054056405
2.597,-9.83425857599259
2.606,-9.67776010461583
2.615,-9.53118195025922
2.624,-9.39411648114566
2.633,-9.26617537944379
2.642,-9.14698879150002
2.651,-9.03620464501087
2.66,-8.93348807266018
2.669,-8.83852089668387
2.678,-8.75100114078684
2.687,-8.67064254524423
2.696,-8.59717406827436
2.705,-8.53033936223806
2.714,-8.46989621723155
2.723,-8.41561596748116
2.732,-8.36728285786826
2.741,-8.32469336912117
2.75,-8.28765550088308
2.759,-8.25598801214854
2.768,-8.22951961857649
2.777,-8.20808814603673
2.786,-8.19153963951303
2.795,-8.17972742624157
2.804,-8.172511131771
2.813,-8.16975564754664
2.822,-8.17133004869765
2.831,-8.17710646099381
2.84,-8.18695887648767
2.849,-8.20076191821628
2.858,-8.21838955555588
2.867,-8.23971377344954
2.876,-8.26460320080778
2.885,-8.29292170595455
2.894,-8.32452697008481
2.903,-8.35926905332853
2.912,-8.39698897216916
2.921,-8.43751731160154
2.93,-8.48067290045291
2.939,-8.52626158359701
2.948,-8.57407513016976
2.957,-8.62389032207885
2.966,-8.67546827174421
2.975,-8.72855402168695
2.984,-8.78287648080302
2.993,-8.83814875235801
3.002,-8.89406890633423
3.011,-8.95032124317695
3.02,-9.00657808672271
3.029,-9.06250213079042
3.038,-9.11774934644807
3.047,-9.17197243551542
3.056,-9.22482479099869
3.065,-9.27596489788599
3.074,-9.32506107952386
3.083,-9.37179646751231
3.092,-9.4158740488629
3.101,-9.45702162534492
3.11,-9.49499650867143
3.119,-9.52958977324035
3.128,-9.56062989669688
3.137,-9.58798563791115
3.146,-9.61156803136908
3.155,-9.6313314147555
3.164,-9.64727345009717
3.173,-9.65943414503681
3.182,-9.66789392616592
3.191,-9.67277085749916
3.2,-9.67421713125663
