Coaxial Probe Method 18.0.19012401
Agilent Technologies,E8361C,US49010233,A.09.22.11

Ch 1
Port:, 2
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -17.000000 dBm
Date:,"Wednesday, September 14, 2022 12:57:01"
frequency(Hz),Tr 1  Data(e'),(e'')
1000000000.0000,3.627000e+000,4.070063e-001
1045000000.0000,3.585149e+000,5.169417e-001
1090000000.0000,3.508094e+000,3.953921e-001
1135000000.0000,3.642167e+000,4.355005e-001
1180000000.0000,3.552928e+000,4.375847e-001
1225000000.0000,3.545827e+000,4.013808e-001
1270000000.0000,3.691652e+000,4.380004e-001
1315000000.0000,3.574566e+000,4.316866e-001
1360000000.0000,3.600066e+000,4.038651e-001
1405000000.0000,3.664492e+000,4.395997e-001
1450000000.0000,3.567422e+000,4.099334e-001
1495000000.0000,3.607253e+000,4.110541e-001
1540000000.0000,3.593971e+000,4.088604e-001
1585000000.0000,3.520615e+000,4.069328e-001
1630000000.0000,3.578657e+000,4.002308e-001
1675000000.0000,3.551253e+000,3.639017e-001
1720000000.0000,3.531185e+000,4.086794e-001
1765000000.0000,3.554280e+000,3.897086e-001
1810000000.0000,3.527911e+000,3.926777e-001
1855000000.0000,3.520254e+000,4.036422e-001
1900000000.0000,3.515481e+000,3.992075e-001
1945000000.0000,3.538815e+000,4.128418e-001
1990000000.0000,3.531361e+000,4.013416e-001
2035000000.0000,3.545277e+000,3.983181e-001
2080000000.0000,3.544850e+000,4.007288e-001
2125000000.0000,3.576780e+000,4.523685e-001
2170000000.0000,3.606401e+000,3.912701e-001
2215000000.0000,3.586869e+000,4.068569e-001
2260000000.0000,3.574111e+000,4.196522e-001
2305000000.0000,3.549263e+000,3.792697e-001
2350000000.0000,3.575839e+000,4.372219e-001
2395000000.0000,3.494119e+000,4.271497e-001
2440000000.0000,3.552192e+000,4.232827e-001
2485000000.0000,3.527178e+000,4.353962e-001
2530000000.0000,3.457675e+000,4.705182e-001
2575000000.0000,3.541556e+000,4.289711e-001
2620000000.0000,3.471132e+000,4.808666e-001
2665000000.0000,3.484693e+000,4.884370e-001
2710000000.0000,3.555159e+000,4.572332e-001
2755000000.0000,3.499431e+000,5.229273e-001
2800000000.0000,3.514243e+000,4.735591e-001
2845000000.0000,3.595816e+000,4.855238e-001
2890000000.0000,3.501611e+000,5.128511e-001
2935000000.0000,3.553205e+000,4.481929e-001
2980000000.0000,3.576070e+000,4.722249e-001
3025000000.0000,3.482971e+000,4.776416e-001
3070000000.0000,3.560698e+000,4.430410e-001
3115000000.0000,3.539229e+000,5.082679e-001
3160000000.0000,3.508382e+000,4.779794e-001
3205000000.0000,3.537591e+000,4.476829e-001
3250000000.0000,3.486128e+000,5.271209e-001
3295000000.0000,3.443217e+000,4.874268e-001
3340000000.0000,3.484828e+000,5.030507e-001
3385000000.0000,3.451444e+000,5.894255e-001
3430000000.0000,3.440608e+000,4.990868e-001
3475000000.0000,3.513039e+000,5.385546e-001
3520000000.0000,3.451000e+000,5.827215e-001
3565000000.0000,3.499676e+000,5.136979e-001
3610000000.0000,3.565644e+000,5.670012e-001
