Coaxial Probe Method 18.0.19012401
Agilent Technologies,E8361C,US49010233,A.09.22.11

Ch 1
Port:, 2
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -17.000000 dBm
Date:,"Wednesday, September 14, 2022 12:50:25"
frequency(Hz),Tr 1  Data(e'),(e'')
1000000000.0000,4.268105e+000,5.502944e-001
1045000000.0000,4.247716e+000,5.836637e-001
1090000000.0000,4.206703e+000,5.678931e-001
1135000000.0000,4.268567e+000,4.977130e-001
1180000000.0000,4.233679e+000,5.518643e-001
1225000000.0000,4.199164e+000,5.365331e-001
1270000000.0000,4.320540e+000,5.150859e-001
1315000000.0000,4.252519e+000,5.773476e-001
1360000000.0000,4.231322e+000,5.099255e-001
1405000000.0000,4.294440e+000,5.462349e-001
1450000000.0000,4.210219e+000,5.597667e-001
1495000000.0000,4.227112e+000,5.057834e-001
1540000000.0000,4.237999e+000,5.411729e-001
1585000000.0000,4.166287e+000,5.327953e-001
1630000000.0000,4.219402e+000,5.104492e-001
1675000000.0000,4.221538e+000,5.177490e-001
1720000000.0000,4.180355e+000,5.085346e-001
1765000000.0000,4.225857e+000,4.964218e-001
1810000000.0000,4.189012e+000,5.183657e-001
1855000000.0000,4.168193e+000,4.904200e-001
1900000000.0000,4.174660e+000,5.146740e-001
1945000000.0000,4.174268e+000,5.148074e-001
1990000000.0000,4.176221e+000,5.005096e-001
2035000000.0000,4.183515e+000,5.275749e-001
2080000000.0000,4.174521e+000,5.031784e-001
2125000000.0000,4.210844e+000,5.531907e-001
2170000000.0000,4.219337e+000,5.246337e-001
2215000000.0000,4.194968e+000,5.120477e-001
2260000000.0000,4.200715e+000,5.569366e-001
2305000000.0000,4.170355e+000,5.142857e-001
2350000000.0000,4.202186e+000,5.505839e-001
2395000000.0000,4.143782e+000,5.612773e-001
2440000000.0000,4.179462e+000,5.409846e-001
2485000000.0000,4.179324e+000,5.596827e-001
2530000000.0000,4.116865e+000,5.902919e-001
2575000000.0000,4.183968e+000,5.274044e-001
2620000000.0000,4.139807e+000,5.932575e-001
2665000000.0000,4.133259e+000,5.921406e-001
2710000000.0000,4.193934e+000,5.571235e-001
2755000000.0000,4.148195e+000,6.372610e-001
2800000000.0000,4.138759e+000,5.754632e-001
2845000000.0000,4.216457e+000,6.057411e-001
2890000000.0000,4.123652e+000,6.352598e-001
2935000000.0000,4.169557e+000,5.630207e-001
2980000000.0000,4.191306e+000,6.103298e-001
3025000000.0000,4.102342e+000,6.042579e-001
3070000000.0000,4.181617e+000,5.801323e-001
3115000000.0000,4.166295e+000,6.513386e-001
3160000000.0000,4.144791e+000,6.059528e-001
3205000000.0000,4.183556e+000,5.919357e-001
3250000000.0000,4.136923e+000,6.530779e-001
3295000000.0000,4.107591e+000,6.077482e-001
3340000000.0000,4.140913e+000,6.330486e-001
3385000000.0000,4.100733e+000,6.905715e-001
3430000000.0000,4.099687e+000,6.181745e-001
3475000000.0000,4.147611e+000,6.645897e-001
3520000000.0000,4.093092e+000,6.841750e-001
3565000000.0000,4.129570e+000,6.498710e-001
3610000000.0000,4.166851e+000,6.941284e-001
3655000000.0000,4.102849e+000,6.837338e-001
3700000000.0000,4.161738e+000,6.812542e-001
3745000000.0000,4.150854e+000,7.162587e-001
3790000000.0000,4.118974e+000,6.917224e-001
3835000000.0000,4.164434e+000,6.873354e-001
3880000000.0000,4.137502e+000,7.201382e-001
3925000000.0000,4.102974e+000,6.923361e-001
3970000000.0000,4.146030e+000,7.154555e-001
4015000000.0000,4.117041e+000,7.260050e-001
4060000000.0000,4.072639e+000,7.203063e-001
4105000000.0000,4.146607e+000,7.581994e-001
4150000000.0000,4.093933e+000,7.522207e-001
4195000000.0000,4.108627e+000,7.504463e-001
4240000000.0000,4.128474e+000,7.721693e-001
4285000000.0000,4.077677e+000,7.939118e-001
4330000000.0000,4.119299e+000,7.941017e-001
4375000000.0000,4.125165e+000,8.246072e-001
4420000000.0000,4.098249e+000,8.238076e-001
4465000000.0000,4.118715e+000,8.058381e-001
4510000000.0000,4.117741e+000,8.465730e-001
4555000000.0000,4.080973e+000,8.446900e-001
