Coaxial Probe Method 18.0.19012401
Agilent Technologies,E8361C,US49010233,A.09.22.11

Ch 1
Port:, 2
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -17.000000 dBm
Date:,"Wednesday, September 14, 2022 12:22:01"
frequency(Hz),Tr 1  Data(e'),(e''/e')
1000000000.0000,7.819302e+001,4.859696e-002
1045000000.0000,7.817506e+001,5.078180e-002
1090000000.0000,7.815619e+001,5.296732e-002
1135000000.0000,7.813650e+001,5.515332e-002
1180000000.0000,7.811603e+001,5.733916e-002
1225000000.0000,7.809478e+001,5.952404e-002
1270000000.0000,7.807277e+001,6.171047e-002
1315000000.0000,7.804993e+001,6.389423e-002
1360000000.0000,7.802635e+001,6.608004e-002
1405000000.0000,7.800195e+001,6.826513e-002
1450000000.0000,7.797683e+001,7.044940e-002
1495000000.0000,7.795093e+001,7.263409e-002
1540000000.0000,7.792420e+001,7.481855e-002
1585000000.0000,7.789677e+001,7.700281e-002
1630000000.0000,7.786853e+001,7.918759e-002
1675000000.0000,7.783948e+001,8.137181e-002
1720000000.0000,7.780972e+001,8.355499e-002
1765000000.0000,7.777917e+001,8.573925e-002
1810000000.0000,7.774787e+001,8.792271e-002
1855000000.0000,7.771580e+001,9.010636e-002
1900000000.0000,7.768301e+001,9.228945e-002
1945000000.0000,7.764941e+001,9.447244e-002
1990000000.0000,7.761509e+001,9.665563e-002
2035000000.0000,7.758001e+001,9.883776e-002
2080000000.0000,7.754420e+001,1.010210e-001
2125000000.0000,7.750763e+001,1.032024e-001
2170000000.0000,7.747027e+001,1.053847e-001
2215000000.0000,7.743224e+001,1.075667e-001
2260000000.0000,7.739341e+001,1.097480e-001
2305000000.0000,7.735390e+001,1.119296e-001
2350000000.0000,7.731360e+001,1.141105e-001
2395000000.0000,7.727258e+001,1.162915e-001
2440000000.0000,7.723083e+001,1.184720e-001
2485000000.0000,7.718833e+001,1.206527e-001
2530000000.0000,7.714514e+001,1.228326e-001
2575000000.0000,7.710121e+001,1.250131e-001
2620000000.0000,7.705657e+001,1.271920e-001
2665000000.0000,7.701119e+001,1.293715e-001
2710000000.0000,7.696512e+001,1.315514e-001
2755000000.0000,7.691832e+001,1.337293e-001
2800000000.0000,7.687086e+001,1.359084e-001
2845000000.0000,7.682262e+001,1.380862e-001
2890000000.0000,7.677376e+001,1.402640e-001
2935000000.0000,7.672415e+001,1.424422e-001
2980000000.0000,7.667378e+001,1.446198e-001
3025000000.0000,7.662284e+001,1.467964e-001
3070000000.0000,7.657116e+001,1.489734e-001
3115000000.0000,7.651875e+001,1.511497e-001
3160000000.0000,7.646572e+001,1.533257e-001
3205000000.0000,7.641197e+001,1.555017e-001
3250000000.0000,7.635754e+001,1.576769e-001
3295000000.0000,7.630248e+001,1.598521e-001
3340000000.0000,7.624669e+001,1.620273e-001
3385000000.0000,7.619026e+001,1.642010e-001
3430000000.0000,7.613317e+001,1.663762e-001
3475000000.0000,7.607540e+001,1.685498e-001
3520000000.0000,7.601699e+001,1.707227e-001
3565000000.0000,7.595794e+001,1.728960e-001
3610000000.0000,7.589816e+001,1.750690e-001
3655000000.0000,7.583785e+001,1.772412e-001
3700000000.0000,7.577684e+001,1.794130e-001
3745000000.0000,7.571517e+001,1.815843e-001
3790000000.0000,7.565288e+001,1.837555e-001
3835000000.0000,7.558996e+001,1.859263e-001
3880000000.0000,7.552642e+001,1.880964e-001
3925000000.0000,7.546224e+001,1.902664e-001
3970000000.0000,7.539745e+001,1.924361e-001
4015000000.0000,7.533201e+001,1.946052e-001
