Coaxial Probe Method 18.0.19012401
Agilent Technologies,E8361C,US49010233,A.09.22.11

Ch 1
Port:, 2
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -17.000000 dBm
Date:,"Wednesday, September 14, 2022 12:39:30"
frequency(Hz),Tr 1  Data(e'),(e'')
1000000000.0000,2.688067e+000,8.131275e-002
1045000000.0000,2.646045e+000,6.060729e-002
1090000000.0000,2.634177e+000,6.118786e-002
1135000000.0000,2.674120e+000,6.156668e-002
1180000000.0000,2.648757e+000,3.863804e-002
1225000000.0000,2.677361e+000,8.468294e-002
1270000000.0000,2.709196e+000,2.628766e-002
1315000000.0000,2.694744e+000,1.050742e-001
1360000000.0000,2.683763e+000,5.328203e-002
1405000000.0000,2.711778e+000,8.311191e-002
1450000000.0000,2.688162e+000,8.856319e-002
1495000000.0000,2.677187e+000,5.701995e-002
1540000000.0000,2.693776e+000,8.898916e-002
1585000000.0000,2.660302e+000,6.836667e-002
1630000000.0000,2.698893e+000,8.696547e-002
1675000000.0000,2.681200e+000,6.173739e-002
1720000000.0000,2.676173e+000,9.531937e-002
1765000000.0000,2.684596e+000,5.765642e-002
1810000000.0000,2.661966e+000,9.400286e-002
1855000000.0000,2.676170e+000,7.187342e-002
1900000000.0000,2.642593e+000,7.792022e-002
1945000000.0000,2.675279e+000,9.720237e-002
1990000000.0000,2.657038e+000,6.016970e-002
2035000000.0000,2.684932e+000,1.142797e-001
2080000000.0000,2.673666e+000,6.805401e-002
2125000000.0000,2.706613e+000,1.122925e-001
2170000000.0000,2.716292e+000,9.390566e-002
2215000000.0000,2.695109e+000,8.689101e-002
2260000000.0000,2.716464e+000,1.103420e-001
2305000000.0000,2.679085e+000,8.623395e-002
2350000000.0000,2.723167e+000,1.143979e-001
2395000000.0000,2.662847e+000,9.931147e-002
2440000000.0000,2.694155e+000,1.105952e-001
2485000000.0000,2.687988e+000,1.017760e-001
2530000000.0000,2.650530e+000,1.325012e-001
2575000000.0000,2.689515e+000,9.819049e-002
2620000000.0000,2.654894e+000,1.294058e-001
2665000000.0000,2.680158e+000,1.332554e-001
2710000000.0000,2.690069e+000,1.085641e-001
2755000000.0000,2.681386e+000,1.513748e-001
2800000000.0000,2.683733e+000,1.172639e-001
2845000000.0000,2.725509e+000,1.375404e-001
2890000000.0000,2.682412e+000,1.472603e-001
2935000000.0000,2.705872e+000,1.209885e-001
2980000000.0000,2.715852e+000,1.405032e-001
3025000000.0000,2.688978e+000,1.350825e-001
3070000000.0000,2.731930e+000,1.327858e-001
3115000000.0000,2.699820e+000,1.531250e-001
3160000000.0000,2.721791e+000,1.504294e-001
3205000000.0000,2.714393e+000,1.364916e-001
3250000000.0000,2.690861e+000,1.692136e-001
3295000000.0000,2.688248e+000,1.472672e-001
3340000000.0000,2.679728e+000,1.567600e-001
3385000000.0000,2.680774e+000,1.809285e-001
3430000000.0000,2.670130e+000,1.444228e-001
3475000000.0000,2.691391e+000,1.790835e-001
3520000000.0000,2.693751e+000,1.678781e-001
3565000000.0000,2.698477e+000,1.647566e-001
3610000000.0000,2.716782e+000,1.809761e-001
3655000000.0000,2.709763e+000,1.783747e-001
3700000000.0000,2.729568e+000,1.811896e-001
3745000000.0000,2.721951e+000,1.908914e-001
3790000000.0000,2.727116e+000,1.903376e-001
3835000000.0000,2.732259e+000,1.854301e-001
3880000000.0000,2.725354e+000,2.027864e-001
3925000000.0000,2.705129e+000,1.883398e-001
3970000000.0000,2.715111e+000,2.092630e-001
4015000000.0000,2.712617e+000,2.044416e-001
4060000000.0000,2.672153e+000,2.075519e-001
4105000000.0000,2.719185e+000,2.196094e-001
4150000000.0000,2.686995e+000,2.149863e-001
4195000000.0000,2.707232e+000,2.295113e-001
4240000000.0000,2.709188e+000,2.222014e-001
4285000000.0000,2.697127e+000,2.430460e-001
4330000000.0000,2.725059e+000,2.319394e-001
4375000000.0000,2.718971e+000,2.510174e-001
4420000000.0000,2.722392e+000,2.524820e-001
4465000000.0000,2.728902e+000,2.395937e-001
4510000000.0000,2.739332e+000,2.617937e-001
4555000000.0000,2.718089e+000,2.561793e-001
4600000000.0000,2.738838e+000,2.711227e-001
4645000000.0000,2.732081e+000,2.690274e-001
4690000000.0000,2.711249e+000,2.667170e-001
4735000000.0000,2.717588e+000,2.684831e-001
4780000000.0000,2.691132e+000,2.691094e-001
4825000000.0000,2.699015e+000,2.679771e-001
4870000000.0000,2.684078e+000,2.618595e-001
4915000000.0000,2.703802e+000,2.811429e-001
4960000000.0000,2.697227e+000,2.678913e-001
5005000000.0000,2.697387e+000,2.953630e-001
5050000000.0000,2.711694e+000,3.035859e-001
5095000000.0000,2.706735e+000,3.099165e-001
5140000000.0000,2.724195e+000,3.133950e-001
5185000000.0000,2.709459e+000,3.239524e-001
5230000000.0000,2.723155e+000,3.278564e-001
5275000000.0000,2.714113e+000,3.257541e-001
5320000000.0000,2.710921e+000,3.355273e-001
5365000000.0000,2.698810e+000,3.313744e-001
5410000000.0000,2.705457e+000,3.414182e-001
5455000000.0000,2.680042e+000,3.375017e-001
5500000000.0000,2.677166e+000,3.378337e-001
5545000000.0000,2.679698e+000,3.386048e-001
5590000000.0000,2.649453e+000,3.372244e-001
5635000000.0000,2.667337e+000,3.391612e-001
5680000000.0000,2.658056e+000,3.407279e-001
5725000000.0000,2.663003e+000,3.487798e-001
5770000000.0000,2.670570e+000,3.409373e-001
5815000000.0000,2.670431e+000,3.589788e-001
5860000000.0000,2.676024e+000,3.585811e-001
5905000000.0000,2.700392e+000,3.679311e-001
5950000000.0000,2.684685e+000,3.788657e-001
5995000000.0000,2.695050e+000,3.724010e-001
6040000000.0000,2.700042e+000,3.886930e-001
6085000000.0000,2.680722e+000,3.883515e-001
6130000000.0000,2.685788e+000,3.870872e-001
6175000000.0000,2.667210e+000,3.964732e-001
6220000000.0000,2.665842e+000,3.975084e-001
6265000000.0000,2.652777e+000,3.870758e-001
6310000000.0000,2.643603e+000,3.966781e-001
6355000000.0000,2.633063e+000,3.896776e-001
6400000000.0000,2.630500e+000,3.839172e-001
6445000000.0000,2.626814e+000,3.991784e-001
6490000000.0000,2.623041e+000,3.847226e-001
6535000000.0000,2.629580e+000,3.918135e-001
6580000000.0000,2.639690e+000,4.030065e-001
6625000000.0000,2.637432e+000,3.885619e-001
6670000000.0000,2.646123e+000,4.161146e-001
6715000000.0000,2.661882e+000,4.038807e-001
6760000000.0000,2.650932e+000,4.123973e-001
