"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.037057646935034
0.509,-0.038428810020063
0.518,-0.0398695303254945
0.527,-0.0413841835632708
0.536,-0.0429774679324353
0.545,-0.0446544281516239
0.554,-0.0464204813274487
0.563,-0.0482814448009033
0.572,-0.0502435661245668
0.581,-0.0523135553349515
0.59,-0.0544986196961959
0.599,-0.0568065011043736
0.608,-0.0592455163551698
0.617,-0.0618246004919461
0.626,-0.0645533534664053
0.635,-0.0674420903597237
0.644,-0.0705018954284894
0.653,-0.073744680256782
0.662,-0.0771832463133242
0.671,-0.0808313522304938
0.68,-0.0847037861401616
0.689,-0.0888164434195379
0.698,-0.0931864102181303
0.707,-0.0978320531541986
0.716,-0.102773115585756
0.725,-0.108030820875789
0.734,-0.113627983084642
0.743,-0.119589125532338
0.752,-0.125940607680348
0.761,-0.132710760784091
0.77,-0.139930032763435
0.779,-0.14763114272729
0.788,-0.155849245568098
0.797,-0.164622107011017
0.806,-0.173990289458498
0.815,-0.183997348911127
0.824,-0.194690043167429
0.833,-0.20611855140537
0.842,-0.218336705122644
0.851,-0.231402230258192
0.86,-0.245377000128311
0.869,-0.260327298583238
0.878,-0.276324092518591
0.887,-0.293443312555313
0.896,-0.311766140326335
0.905,-0.331379300372411
0.914,-0.352375354148812
0.923,-0.374852993073485
0.932,-0.398917326903187
0.941,-0.424680163004369
0.95,-0.452260271290298
0.959,-0.481783628728236
0.968,-0.513383636386556
0.977,-0.547201301002554
0.986,-0.583385372024473
0.995,-0.62209242403836
1.004,-0.663486873463792
1.013,-0.707740917431148
1.022,-0.755034381886369
1.031,-0.805554465266156
1.04,-0.859495363615464
1.049,-0.917057762857966
1.058,-0.97844818416321
1.067,-1.04387816907049
1.076,-1.1135632923181
1.085,-1.18772199227087
1.094,-1.26657421151009
1.103,-1.35033984359856
1.112,-1.43923698628006
1.121,-1.53348000639978
1.13,-1.63327742757319
1.139,-1.73882965796628
1.148,-1.85032658229869
1.157,-1.96794504910517
1.166,-2.09184629109507
1.175,-2.22217332279716
1.184,-2.35904836520442
1.193,-2.50257035147192
1.202,-2.6528125705279
1.211,-2.80982050644229
1.22,-2.97360993035122
1.229,-3.1441652985583
1.238,-3.3214385051491
1.247,-3.50534803021938
1.256,-3.69577851591249
1.265,-3.89258079228011
1.274,-4.09557236399389
1.283,-4.30453835765887
1.292,-4.5192329184263
1.301,-4.73938103424556
1.31,-4.96468075682619
1.319,-5.19480578048416
1.328,-5.42940833368689
1.337,-5.66812233332386
1.346,-5.9105667484401
1.355,-6.15634911820807
1.364,-6.40506916805153
1.373,-6.65632246781501
1.382,-6.90970407644357
1.391,-7.16481211858342
1.4,-7.42125123967886
1.409,-7.67863588743726
1.418,-7.93659336895051
1.427,-8.19476663435633
1.436,-8.45281673980133
1.445,-8.71042494477278
1.454,-8.96729440174002
1.463,-9.22315139961409
1.472,-9.47774612687774
1.481,-9.73085292537927
1.49,-9.98227001167547
1.499,-10.2318186493406
1.508,-10.4793417626598
1.517,-10.7247019893934
1.526,-10.9677791776314
1.535,-11.2084673389597
1.544,-11.4466710771367
1.553,-11.682301518184
1.562,-11.9152717743671
1.571,-12.1454919812072
1.58,-12.3728639538775
1.589,-12.5972755176517
1.598,-12.818594577244
1.607,-13.0366630027344
1.616,-13.2512904262294
1.625,-13.4622480643223
1.634,-13.669262707513
1.643,-13.8720110494093
1.652,-14.0701145656053
1.661,-14.2631351936302
1.67,-14.4505721091699
1.679,-14.6318599362886
1.688,-14.8063687652822
1.697,-14.9734063738346
1.706,-15.1322230463164
1.715,-15.2820193521204
1.724,-15.4219571665451
1.733,-15.5511740882922
1.742,-15.6688012216895
1.751,-15.7739840517758
1.76,-15.8659058584914
1.769,-15.9438128156734
1.778,-16.0070396354202
1.787,-16.0550343903707
1.796,-16.0873810186814
1.805,-16.1038180250765
1.814,-16.1042520562728
1.823,-16.0887653470372
1.832,-16.0576164747917
1.841,-16.0112343739276
1.85,-15.9502060798953
1.859,-15.8752591306765
1.868,-15.7872398942495
1.877,-15.6870892816521
1.886,-15.5758173386542
1.895,-15.4544781014349
1.904,-15.3241458870687
1.913,-15.1858939107258
1.922,-15.0407758207745
1.931,-14.889810456122
1.94,-14.7339698823799
1.949,-14.5741705687273
1.958,-14.4112674296603
1.967,-14.2460503717389
1.976,-14.0792429469047
1.985,-13.9115027108082
1.994,-13.7434229065289
2.003,-13.5755351318333
2.012,-13.4083126941107
2.021,-13.2421744056461
2.03,-13.0774886189732
2.039,-12.9145773452005
2.048,-12.7537203361202
2.057,-12.5951590430712
2.066,-12.4391003920461
2.075,-12.2857203357958
2.084,-12.1351671603269
2.093,-11.9875645358661
2.102,-11.8430143117559
2.111,-11.7015990614721
2.12,-11.5633843885661
2.129,-11.4284210073004
2.138,-11.2967466134651
2.147,-11.1683875616481
2.156,-11.0433603653459
2.165,-10.9216730359354
2.174,-10.8033262758463
2.183,-10.6883145403895
2.192,-10.5766269816934
2.201,-10.468248287151
2.21,-10.3631594237256
2.219,-10.2613382984284
2.228,-10.1627603443009
2.237,-10.0673990403115
2.246,-9.97522637271672
2.255,-9.88621324465327
2.264,-9.80032984000848
2.273,-9.71754594696915
2.282,-9.63783124606351
2.291,-9.56115556698732
2.3,-9.48748911803787
2.309,-9.41680269156242
2.318,-9.34906784845857
2.327,-9.28425708443684
2.336,-9.22234398046687
2.345,-9.16330333957406
2.354,-9.10711131193047
2.363,-9.05374550998746
2.372,-9.00318511522692
2.381,-8.95541097795892
2.39,-8.91040571146467
2.399,-8.86815378167263
2.408,-8.82864159346052
2.417,-8.79185757459548
2.426,-8.75779225825702
2.435,-8.72643836503254
2.444,-8.69779088523023
2.453,-8.6718471623206
2.462,-8.64860697829326
2.471,-8.62807264170023
2.48,-8.61024907915049
2.489,-8.59514393102262
2.498,-8.58276765217253
2.507,-8.5731336184324
2.516,-8.56625823972466
2.525,-8.56216108065108
2.534,-8.56086498946322
2.543,-8.56239623637678
2.552,-8.56678466225877
2.561,-8.57406383879568
2.57,-8.58427124134203
2.579,-8.59744843575522
2.588,-8.61364128064437
2.597,-8.63290014660171
2.606,-8.65528015414547
2.615,-8.68084143228774
2.624,-8.70964939985168
2.633,-8.74177507190389
2.642,-8.77729539394464
2.651,-8.81629360681625
2.66,-8.85885964565509
2.669,-8.90509057663234
2.678,-8.95509107571357
2.687,-9.00897395422685
2.696,-9.06686073667771
2.705,-9.12888229700262
2.714,-9.19517956032948
2.723,-9.26590427833772
2.732,-9.34121988750945
2.741,-9.4213024609718
2.75,-9.50634176628981
2.759,-9.59654244353158
2.768,-9.69212532025521
2.777,-9.79332888283855
2.786,-9.90041092688614
2.795,-10.0136504134226
2.804,-10.1333495623714
2.813,-10.2598362206137
2.822,-10.3934665489656
2.831,-10.5346280810129
2.84,-10.683743217297
2.849,-10.8412732313586
2.858,-11.007722880282
2.867,-11.1836457324943
2.876,-11.3696503507921
2.885,-11.5664075003709
2.894,-11.774658592006
2.903,-11.9952256221006
2.912,-12.2290229376525
2.921,-12.477071240112
2.93,-12.7405143542082
2.939,-13.0206394351955
2.948,-13.3189014831701
2.957,-13.6369532936539
2.966,-13.9766823240003
2.975,-14.340256429653
2.984,-14.7301810707822
2.993,-15.1493714746283
3.002,-15.6012444514476
3.011,-16.0898362165439
3.02,-16.6199547947269
3.029,-17.1973784621758
3.038,-17.8291150765873
3.047,-18.5237401535609
3.056,-19.2918308912724
3.065,-20.1464986716027
3.074,-21.1039622420979
3.083,-22.1839008284876
3.092,-23.4086779410835
3.101,-24.7984762806783
3.11,-26.3530562830437
3.119,-27.9940297562963
3.128,-29.4251829077479
3.137,-30.0272682439782
3.146,-29.3636951936054
3.155,-27.8332108293293
3.164,-26.0667979174012
3.173,-24.3784360140592
3.182,-22.8543167093356
3.191,-21.497173370086
3.2,-20.2875015298236
3.209,-19.2030868971511
3.218,-18.224276338983
3.227,-17.3348722308896
3.236,-16.5218077914109
3.245,-15.7745754963845
3.254,-15.0846891418849
3.263,-14.4452434503864
3.272,-13.8505703830612
3.281,-13.2959752549229
3.29,-12.7775346908513
3.299,-12.2919413853209
3.308,-11.8363840386007
3.317,-11.4084537568598
3.326,-11.006070462387
3.335,-10.6274245426921
3.344,-10.2709302006403
3.353,-9.93518786747002
3.362,-9.61895369745582
3.371,-9.32111464456588
3.38,-9.04066797658422
3.389,-8.77670434578525
3.398,-8.52839373235993
3.407,-8.29497372526624
3.416,-8.07573971786016
3.425,-7.87003668183334
3.434,-7.677252249388
3.443,-7.49681088515584
3.452,-7.32816896975139
3.461,-7.17081064873842
3.47,-7.02424432618702
3.479,-6.88799970241398
3.488,-6.76162527205988
3.497,-6.64468621221736
3.506,-6.5367626015296
3.515,-6.43744792051731
3.524,-6.34634779123626
3.533,-6.26307892099945
3.542,-6.18726822053304
3.551,-6.11855207173856
3.56,-6.05657572433288
3.569,-6.00099280412967
3.578,-5.95146491869043
3.587,-5.90766134857018
3.596,-5.86925881446427
3.605,-5.83594131227062
3.614,-5.80740000945274
3.623,-5.78333319715677
3.632,-5.76344629333041
3.641,-5.74745189264264
3.65,-5.73506985933903
3.659,-5.72602745931558
3.668,-5.72005952768481
3.677,-5.71690866796737
3.686,-5.71632547880275
3.695,-5.71806880376068
3.704,-5.72190599948214
3.713,-5.7276132170131
3.722,-5.73497569084422
3.731,-5.74378802986319
3.74,-5.75385450418615
3.749,-5.76498932168542
3.758,-5.77701688798791
3.767,-5.78977204379914
3.776,-5.80310027361937
3.785,-5.81685788026563
3.794,-5.83091212009552
3.803,-5.84514129443834
3.812,-5.85943479346368
3.821,-5.87369308954156
3.83,-5.88782767804807
3.839,-5.90176096452369
3.848,-5.91542609806998
3.857,-5.92876675184642
3.866,-5.94173685247631
3.875,-5.95430026106022
3.884,-5.96643040930639
3.893,-5.97810989499714
3.902,-5.98933004160389
3.911,-6.00009042732821
3.92,-6.01039838917686
3.929,-6.0202685078724
3.938,-6.02972207946074
3.947,-6.03878657941077
3.956,-6.04749512481805
3.965,-6.05588594004047
3.974,-6.06400183072131
3.983,-6.07188967071433
3.992,-6.07959990593129
4.001,-6.08718607860287
4.01,-6.09470437489633
4.019,-6.10221319828066
4.028,-6.10977277048746
4.037,-6.11744476139417
4.046,-6.12529194866452
4.055,-6.13337790752715
4.064,-6.14176673066143
4.073,-6.15052277779483
4.082,-6.15971045429731
4.091,-6.16939401778861
4.1,-6.17963741154991
4.109,-6.19050412335164
4.118,-6.20205706817049
4.127,-6.21435849316739
4.136,-6.22746990323025
4.145,-6.24145200534698
4.154,-6.25636467006014
4.163,-6.27226690826195
4.172,-6.28921686161185
4.181,-6.30727180489498
4.19,-6.32648815868557
4.199,-6.34692151073012
4.208,-6.36862664451928
4.217,-6.3916575735709
4.226,-6.41606757999821
4.235,-6.44190925598318
4.244,-6.46923454681535
4.253,-6.49809479418692
4.262,-6.52854077845656
4.271,-6.56062275860295
4.28,-6.59439050858577
4.289,-6.62989334881301
4.298,-6.66718017137962
4.307,-6.70629945769074
4.316,-6.74729928701285
4.325,-6.79022733440629
4.334,-6.83513085638046
4.343,-6.88205666247848
4.352,-6.9310510708381
4.361,-6.98215984558883
4.37,-7.03542811372994
4.379,-7.09090025888809
4.388,-7.14861978907362
4.397,-7.20862917524215
4.406,-7.27096965711689
4.415,-7.33568101233969
4.424,-7.40280128459185
4.433,-7.47236646585876
4.442,-7.54441012750907
4.451,-7.6189629943176
4.46,-7.69605245499009
4.469,-7.77570200215283
4.478,-7.8579305941618
4.487,-7.94275193048331
4.496,-8.03017363182116
4.505,-8.12019631564775
4.514,-8.21281255737952
4.523,-8.30800572717481
4.532,-8.40574869229809
4.541,-8.50600237527747
4.55,-8.60871415879823
4.559,-8.71381612956522
4.568,-8.8212231554048
4.577,-8.93083079286921
4.586,-9.0425130267965
4.595,-9.15611984894627
4.604,-9.27147469028286
4.613,-9.38837173104047
4.622,-9.50657312470574
4.631,-9.62580618678207
4.64,-9.74576061686788
4.649,-9.86608584324887
4.658,-9.98638860269338
4.667,-10.1062308939267
4.676,-10.2251284703397
4.685,-10.3425500642385
4.694,-10.4579175590066
4.703,-10.5706073437306
4.712,-10.6799530931228
4.721,-10.7852502092485
4.73,-10.8857621355678
4.739,-10.9807287033287
4.748,-11.0693765916664
4.757,-11.1509318743426
4.766,-11.2246344897365
4.775,-11.2897543127548
4.784,-11.3456083391183
4.793,-11.3915783302817
4.802,-11.4271281309854
4.811,-11.4518197822954
4.82,-11.4653275298995
4.829,-11.4674488832826
4.838,-11.4581120195269
4.847,-11.4373790376731
4.856,-11.4054448361582
4.865,-11.3626316782108
4.874,-11.3093797952817
4.883,-11.2462346248656
4.892,-11.173831461191
4.901,-11.0928784002873
4.91,-11.0041384817424
4.919,-10.908411875805
4.928,-10.8065188523337
4.937,-10.6992841177988
4.946,-10.5875229391319
4.955,-10.4720293073034
4.964,-10.3535662433412
4.973,-10.232858224247
4.982,-10.1105856101979
4.991,-9.98738088779561
5,-9.86382650432859
