!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Friday, September 30, 2022 10:19:07,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S11(DB),S11(DEG),
500000000,-2.8487847,-176.04424,
522500000,-2.7903953,179.16765,
545000000,-2.7882366,174.30608,
567500000,-2.75629,169.57407,
590000000,-2.7139933,164.95374,
612500000,-2.6884549,159.99155,
635000000,-2.7229645,154.63538,
657500000,-2.7439976,149.5845,
680000000,-2.7904489,144.38823,
702500000,-2.8362246,138.74747,
725000000,-2.9610376,132.86546,
747500000,-3.2164698,126.71659,
770000000,-3.4596052,121.77786,
792500000,-3.6752591,115.12564,
815000000,-4.0386415,108.40531,
837500000,-4.5321898,101.19375,
860000000,-5.1890321,93.815659,
882500000,-5.9411507,85.893707,
905000000,-7.029779,77.636703,
927500000,-8.445219,68.871704,
950000000,-10.315784,60.221294,
972500000,-13.305983,53.024803,
995000000,-15.976601,55.353706,
1017500000,-20.019987,43.460293,
1040000000,-30.691404,28.127409,
1062500000,-26.903015,-143.0423,
1085000000,-18.473211,-158.65607,
1107500000,-14.610367,-166.80978,
1130000000,-12.014478,-176.33163,
1152500000,-10.357434,174.58826,
1175000000,-9.1593733,166.89697,
1197500000,-8.2784672,157.6163,
1220000000,-8.4142828,150.99295,
1242500000,-7.9599771,149.86481,
1265000000,-7.2777562,146.23854,
1287500000,-6.7307739,141.33458,
1310000000,-6.3637829,135.67838,
1332500000,-6.0930276,130.59174,
1355000000,-6.0062981,125.62183,
1377500000,-5.8634534,121.19257,
1400000000,-5.8172045,116.28054,
1422500000,-5.8586621,111.52168,
1445000000,-6.1228285,107.84665,
1467500000,-6.1111207,105.89958,
1490000000,-5.7798109,102.14442,
1512500000,-5.8716369,96.438759,
1535000000,-6.0898466,91.767021,
1557500000,-6.4794054,87.749374,
1580000000,-6.7936559,84.928688,
1602500000,-7.0827727,82.741005,
1625000000,-7.1939535,80.303871,
1647500000,-7.319428,77.635521,
1670000000,-7.2401085,74.281395,
1692500000,-7.4669595,67.556389,
1715000000,-8.1821632,62.620724,
1737500000,-8.9104815,60.684406,
1760000000,-9.3335199,58.565109,
1782500000,-9.7432175,55.657604,
1805000000,-10.195767,51.76786,
1827500000,-10.930522,45.671543,
1850000000,-12.171844,40.354553,
1872500000,-14.013493,35.631435,
1895000000,-16.599026,34.848541,
1917500000,-19.83749,44.115025,
1940000000,-21.982311,67.853065,
1962500000,-21.791183,93.071358,
1985000000,-19.974384,111.91809,
2007500000,-18.020195,122.32796,
2030000000,-15.706191,127.88378,
2052500000,-13.817169,128.10713,
2075000000,-12.145376,126.62309,
2097500000,-10.845386,122.7332,
2120000000,-9.8648176,118.67675,
