!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Monday, September 26, 2022 10:43:38,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S11(DB),S11(DEG),
1000000000,-1.3934901,113.76769,
1045000000,-1.6053804,99.307503,
1090000000,-1.9129447,83.852737,
1135000000,-2.4471507,66.002151,
1180000000,-3.6043088,46.065418,
1225000000,-4.4740534,26.668859,
1270000000,-6.4906707,-0.70515698,
1315000000,-9.6244545,-32.057728,
1360000000,-13.90335,-65.808754,
1405000000,-20.008659,-117.26171,
1450000000,-28.923697,-138.13997,
1495000000,-17.42506,-166.57239,
1540000000,-15.850931,146.00253,
1585000000,-16.636213,120.89017,
1630000000,-19.815216,106.47906,
1675000000,-19.160839,146.84059,
1720000000,-16.16222,132.80089,
1765000000,-15.43436,130.12914,
1810000000,-13.683381,134.11267,
1855000000,-11.497984,123.21966,
1900000000,-10.210331,110.94675,
1945000000,-9.9276505,95.410812,
1990000000,-9.6363735,87.808044,
2035000000,-9.4793205,77.484924,
2080000000,-9.3915396,65.863632,
2125000000,-9.8296766,51.958179,
2170000000,-11.107962,39.716358,
2215000000,-13.004563,31.138603,
2260000000,-14.981977,24.477325,
2305000000,-17.883327,35.611923,
2350000000,-19.025158,44.574928,
2395000000,-18.606882,64.950386,
2440000000,-17.469025,67.336647,
2485000000,-15.624098,69.370552,
2530000000,-14.711848,64.054062,
2575000000,-14.954119,56.708675,
2620000000,-14.589455,54.335262,
2665000000,-14.591731,48.96027,
2710000000,-15.399538,45.951077,
2755000000,-16.148079,43.121548,
2800000000,-17.740534,47.802361,
2845000000,-17.859831,52.640488,
2890000000,-18.340715,65.404449,
2935000000,-17.141529,77.87516,
2980000000,-15.368729,87.511459,
3025000000,-13.230197,89.27507,
3070000000,-10.902314,88.426338,
3115000000,-9.2155724,80.804573,
3160000000,-7.8057499,71.600235,
3205000000,-6.5016246,63.745686,
3250000000,-6.0523105,54.698002,
3295000000,-5.3948803,43.884533,
3340000000,-5.0317698,37.295994,
3385000000,-5.0562696,28.948534,
3430000000,-4.8039904,20.088209,
3475000000,-4.8424702,14.575562,
3520000000,-5.1144209,6.7063508,
3565000000,-4.9933791,0.047567949,
3610000000,-5.347446,-5.2175961,
3655000000,-5.7974844,-12.392423,
3700000000,-5.9349918,-16.994314,
3745000000,-6.464922,-21.482841,
3790000000,-6.9694653,-28.111656,
3835000000,-7.3685966,-31.773853,
3880000000,-8.2469292,-35.693913,
3925000000,-8.9734907,-37.413902,
3970000000,-9.4611082,-38.866875,
4015000000,-10.385468,-40.262508,
4060000000,-11.554235,-37.824612,
4105000000,-12.109227,-28.223879,
4150000000,-11.418608,-24.264368,
4195000000,-10.899379,-21.074026,
4240000000,-10.444047,-17.29244,
4285000000,-9.4369507,-17.468081,
4330000000,-8.1160831,-18.943544,
4375000000,-7.5209951,-22.603983,
4420000000,-7.0375919,-28.283119,
4465000000,-6.3068609,-31.009808,
4510000000,-5.8224325,-36.00692,
4555000000,-5.4954481,-41.792038,
4600000000,-5.0868535,-47.2006,
4645000000,-5.1096606,-52.12661,
4690000000,-4.8931808,-59.139999,
4735000000,-4.6696968,-64.518906,
4780000000,-4.8086214,-69.846573,
4825000000,-4.8080978,-77.141518,
4870000000,-4.9567838,-82.151085,
4915000000,-5.2397771,-87.714561,
4960000000,-5.5135164,-94.598602,
5005000000,-5.9524193,-99.594986,
5050000000,-6.4097228,-104.83345,
5095000000,-6.9979725,-110.32671,
5140000000,-7.7971168,-114.51259,
5185000000,-8.5587101,-118.15128,
5230000000,-9.513195,-121.22743,
5275000000,-10.714516,-122.61937,
5320000000,-11.869694,-120.55746,
5365000000,-12.616941,-115.24763,
5410000000,-13.026946,-109.33932,
5455000000,-12.92675,-102.68443,
5500000000,-12.230149,-98.343147,
5545000000,-11.294106,-97.922173,
5590000000,-10.633378,-98.502563,
5635000000,-10.084824,-101.27654,
5680000000,-9.3991079,-104.30774,
5725000000,-8.9763365,-107.70642,
5770000000,-8.7483282,-113.05126,
5815000000,-8.4658842,-118.3222,
5860000000,-8.456068,-122.79909,
5905000000,-8.3955631,-128.29848,
5950000000,-8.4337454,-133.06396,
5995000000,-8.5522346,-138.43663,
6040000000,-8.7493401,-143.62056,
6085000000,-9.1486034,-149.04327,
6130000000,-9.4642429,-154.12483,
6175000000,-10.021754,-158.56038,
6220000000,-10.590815,-163.83344,
6265000000,-11.172247,-168.42213,
6310000000,-12.209224,-171.48083,
6355000000,-13.10572,-175.54643,
6400000000,-13.968098,-177.40804,
6445000000,-15.294386,-177.74265,
6490000000,-16.633131,-178.41174,
6535000000,-17.812328,-174.54967,
6580000000,-18.853901,-167.97621,
6625000000,-19.777918,-159.2047,
6670000000,-19.613401,-149.75272,
6715000000,-19.124901,-144.38507,
6760000000,-18.499584,-138.58029,
6805000000,-17.919676,-134.89853,
6850000000,-17.015499,-135.32961,
6895000000,-16.279703,-135.41597,
6940000000,-15.867417,-136.43599,
6985000000,-15.405746,-138.97162,
7030000000,-14.870465,-141.41234,
7075000000,-14.723238,-144.41252,
7120000000,-14.570637,-148.71902,
7165000000,-14.630515,-152.30095,
7210000000,-14.769789,-155.84167,
7255000000,-15.042617,-159.72064,
7300000000,-15.521598,-162.4175,
7345000000,-16.170809,-164.87263,
7390000000,-16.884838,-166.34048,
7435000000,-17.771338,-167.68419,
7480000000,-18.960127,-165.8521,
7525000000,-20.133059,-158.55573,
7570000000,-20.689909,-149.25587,
7615000000,-20.570883,-138.33905,
7660000000,-19.966866,-128.60202,
7705000000,-18.747673,-121.0312,
7750000000,-17.248854,-117.52068,
7795000000,-15.912014,-117.27298,
7840000000,-15.046853,-118.83682,
7885000000,-13.99886,-121.57697,
7930000000,-13.10132,-122.2793,
7975000000,-12.519094,-125.5852,
8020000000,-11.733034,-130.27942,
8065000000,-11.222373,-133.15927,
8110000000,-11.139767,-136.58173,
8155000000,-10.721275,-140.56923,
8200000000,-10.277548,-143.04652,
8245000000,-10.245035,-146.36046,
8290000000,-10.015703,-150.52641,
8335000000,-9.8250904,-152.37315,
8380000000,-9.808897,-154.87968,
8425000000,-9.5590448,-158.15674,
8470000000,-9.4722023,-159.80942,
8515000000,-9.540369,-162.0011,
8560000000,-9.378746,-164.72359,
8605000000,-9.190217,-165.46971,
8650000000,-9.1936941,-167.44504,
8695000000,-9.0095997,-169.85445,
8740000000,-8.7742271,-170.64511,
8785000000,-8.7244911,-172.95213,
8830000000,-8.5550079,-175.52992,
8875000000,-8.3051987,-176.95796,
8920000000,-8.2619267,-178.8179,
8965000000,-7.9866838,178.47527,
9010000000,-7.7953191,177.01901,
9055000000,-7.7373118,174.49107,
9100000000,-7.5479116,171.65161,
9145000000,-7.3413572,169.67262,
9190000000,-7.2810197,166.96158,
9235000000,-7.1212173,163.80324,
9280000000,-7.0059361,161.50601,
9325000000,-6.9764671,158.62637,
9370000000,-6.8999777,155.47299,
9415000000,-6.8425765,153.12317,
9460000000,-6.8760428,149.97394,
9505000000,-6.8854132,146.95963,
9550000000,-6.9517379,144.65344,
9595000000,-7.0036731,141.98874,
9640000000,-7.0637722,139.54315,
9685000000,-7.1796122,137.26199,
9730000000,-7.3165002,134.99928,
9775000000,-7.3912592,133.37033,
9820000000,-7.5181336,131.4828,
9865000000,-7.5739632,129.54521,
9910000000,-7.6344819,128.22864,
9955000000,-7.776732,126.4824,
10000000000,-7.7888446,125.29446,
