"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.0378054385629682
0.509,-0.0393317130329113
0.518,-0.0409438996849364
0.527,-0.0426476466871895
0.536,-0.0444490357845858
0.545,-0.0463546182992429
0.554,-0.048371454338963
0.563,-0.0505071555192737
0.572,-0.0527699315355074
0.581,-0.0551686409558396
0.59,-0.0577128466443067
0.599,-0.0604128762649901
0.608,-0.0632798883652676
0.617,-0.0663259445877773
0.626,-0.0695640886180907
0.635,-0.0730084325385496
0.644,-0.0766742513291174
0.653,-0.0805780863338583
0.662,-0.0847378585981144
0.671,-0.0891729930766684
0.68,-0.0939045548189391
0.689,-0.0989553983539539
0.698,-0.10435033162684
0.707,-0.110116295980987
0.716,-0.116282563837035
0.725,-0.122880955892744
0.734,-0.129946079857931
0.743,-0.137515592947352
0.752,-0.145630490582781
0.761,-0.15433542400527
0.77,-0.163679049770285
0.779,-0.173714414393255
0.788,-0.184499377731757
0.797,-0.196097079032861
0.806,-0.20857644993996
0.815,-0.222012779141088
0.824,-0.23648833374808
0.833,-0.252093042918707
0.842,-0.268925249666909
0.851,-0.287092537240522
0.86,-0.306712636871401
0.869,-0.32791442410392
0.878,-0.350839011266051
0.887,-0.375640943938099
0.896,-0.402489509466698
0.905,-0.431570165628548
0.914,-0.463086097423118
0.923,-0.497259909611056
0.932,-0.53433546195085
0.941,-0.574579853045644
0.95,-0.618285557212262
0.959,-0.665772716735134
0.968,-0.717391589176587
0.977,-0.773525145992859
0.986,-0.834591814476566
0.995,-0.901048349964408
1.004,-0.973392819313825
1.013,-1.05216766993931
1.022,-1.13796285139206
1.031,-1.23141894889895
1.04,-1.33323028098323
1.049,-1.44414790705657
1.058,-1.56498248680202
1.067,-1.6966069327211
1.076,-1.83995880226567
1.085,-1.99604238880282
1.094,-2.16593049396047
1.103,-2.35076590070126
1.112,-2.55176262003209
1.121,-2.77020705791274
1.13,-3.00745934594294
1.139,-3.26495520286837
1.148,-3.54420884682288
1.157,-3.84681766373523
1.166,-4.17446955981871
1.175,-4.52895419265282
1.184,-4.91217959871918
1.193,-5.32619613791627
1.202,-5.77323019663233
1.211,-6.25573079619123
1.22,-6.77643325137724
1.229,-7.33844549151896
1.238,-7.94536488483175
1.247,-8.60143687882187
1.256,-9.31177230965659
1.265,-10.0826492912542
1.274,-10.9219408170104
1.283,-11.8397356311376
1.292,-12.8492676019576
1.301,-13.9683588997583
1.31,-15.2217620509425
1.319,-16.645169144898
1.328,-18.2925410152225
1.337,-20.2506594417241
1.346,-22.6712480537921
1.355,-25.8520289828184
1.364,-30.4659333372204
1.373,-37.3291815580797
1.382,-34.6486060800872
1.391,-28.9949981380591
1.4,-25.4797551280185
1.409,-23.0477216741285
1.418,-21.2234803532627
1.427,-19.7839140394857
1.436,-18.6088721346078
1.445,-17.6266736657067
1.454,-16.7912268910066
1.463,-16.0711730639209
1.472,-15.4442213807055
1.481,-14.8939643163282
1.49,-14.4079775951314
1.499,-13.9766302354855
1.508,-13.5923086517826
1.517,-13.2488932404354
1.526,-12.9413948747451
1.535,-12.6656960288297
1.544,-12.418362324171
1.553,-12.1965026653605
1.562,-11.997663643906
1.571,-11.8197485867581
1.58,-11.6609546420241
1.589,-11.5197232763172
1.598,-11.3947008885117
1.607,-11.2847071548164
1.616,-11.1887093536613
1.625,-11.1058013670091
1.634,-11.0351863763083
1.643,-10.9761625052195
