"Freq [GHz]","dB(S(1,1)) []"
0.5,-0.0389736332573329
0.509,-0.0405795436095633
0.518,-0.0422671057105863
0.527,-0.0440418390442696
0.536,-0.0459097169495571
0.545,-0.0478772051704531
0.554,-0.0499513038836121
0.563,-0.0521395935417947
0.572,-0.0544502849069316
0.581,-0.0568922736857913
0.59,-0.0594752002249036
0.599,-0.062209514769895
0.608,-0.0651065488483316
0.617,-0.0681785933950053
0.626,-0.0714389843054158
0.635,-0.0749021961771091
0.644,-0.0785839450810968
0.653,-0.0825013012972077
0.662,-0.0866728130491013
0.671,-0.0911186423880543
0.68,-0.0958607145005508
0.689,-0.100922881854698
0.698,-0.10633110475584
0.707,-0.112113650054242
0.716,-0.118301309938978
0.725,-0.124927642963911
0.734,-0.132029239686048
0.743,-0.139646015555346
0.752,-0.147821533980563
0.761,-0.15660336280958
0.77,-0.16604346780741
0.779,-0.176198647091985
0.788,-0.187131010898751
0.797,-0.198908511491188
0.806,-0.211605528515632
0.815,-0.225303515615585
0.824,-0.240091714670168
0.833,-0.256067944601542
0.842,-0.273339472299877
0.851,-0.292023973834771
0.86,-0.312250594745669
0.869,-0.334161118814989
0.878,-0.357911255303582
0.887,-0.383672055139752
0.896,-0.411631466962993
0.905,-0.441996044184483
0.914,-0.474992814280005
0.923,-0.51087132130596
0.932,-0.549905852041812
0.941,-0.592397855113455
0.95,-0.63867856083152
0.959,-0.689111807165075
0.968,-0.744097074139248
0.977,-0.804072724874884
0.986,-0.869519446379215
0.995,-0.940963876990714
1.004,-1.01898240009348
1.013,-1.10420507547745
1.022,-1.19731967082958
1.031,-1.29907574683645
1.04,-1.41028874111647
1.049,-1.53184398994875
1.058,-1.66470062429945
1.067,-1.80989528033886
1.076,-1.9685455775366
1.085,-2.14185334327132
1.094,-2.33110760614002
1.103,-2.53768744586673
1.112,-2.76306488144016
1.121,-3.00880810674485
1.13,-3.27658555063176
1.139,-3.56817145264032
1.148,-3.8854539139768
1.157,-4.23044671587122
1.166,-4.605306609304
1.175,-5.01235829661567
1.184,-5.45412998995538
1.193,-5.93340331773474
1.202,-6.4532825827765
1.211,-7.01729016274872
1.22,-7.62949753188684
1.229,-8.29470555701539
1.238,-9.01869438127134
1.247,-9.80857411577354
1.256,-10.6732859089981
1.265,-11.6243347735569
1.274,-12.6768925983398
1.283,-13.8515160462185
1.292,-15.1769302183568
1.301,-16.6947446421086
1.31,-18.4678227946012
1.319,-20.5956657388817
1.328,-23.2414836191096
1.337,-26.6512561495011
1.346,-30.741077843457
1.355,-31.9055157128594
1.364,-28.4436741107375
1.373,-25.1281354728254
1.382,-22.6452798437548
1.391,-20.747628375798
1.4,-19.2435376221606
1.409,-18.0156569797107
1.418,-16.9905407512681
1.427,-16.1199806210129
1.436,-15.3708731301859
