!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Friday, September 30, 2022 10:18:24,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S11(DB),S11(DEG),
500000000,-0.16136822,-83.506744,
522500000,-0.15179321,-87.505859,
545000000,-0.20726615,-92.014374,
567500000,-0.22759973,-95.725204,
590000000,-0.22113924,-99.0895,
612500000,-0.22020322,-103.3706,
635000000,-0.19255586,-107.65469,
657500000,-0.22454797,-111.63116,
680000000,-0.23918822,-116.09879,
702500000,-0.184677,-120.39289,
725000000,-0.190607,-124.91465,
747500000,-0.22540095,-129.42159,
770000000,-0.22223818,-133.7664,
792500000,-0.27240807,-138.60118,
815000000,-0.28827399,-143.54964,
837500000,-0.28925854,-148.44139,
860000000,-0.35560018,-153.58044,
882500000,-0.39187798,-158.85349,
905000000,-0.44959703,-164.29683,
927500000,-0.51108736,-170.09421,
950000000,-0.61097497,-176.09682,
972500000,-0.81268877,177.24956,
995000000,-0.97529876,171.72227,
1017500000,-1.1018327,165.00342,
1040000000,-1.2643713,157.892,
1062500000,-1.5220976,149.89494,
1085000000,-1.8837274,141.30518,
1107500000,-2.384861,132.06534,
1130000000,-3.1823819,121.95105,
1152500000,-4.2196226,113.27351,
1175000000,-5.5570359,103.41141,
1197500000,-7.6192684,102.25867,
1220000000,-7.1390405,99.626732,
1242500000,-7.9788675,82.777122,
1265000000,-9.9068394,68.986267,
1287500000,-12.305384,53.990097,
1310000000,-16.589312,43.802788,
1332500000,-20.209787,33.153347,
1355000000,-28.138071,-5.9361882,
1377500000,-31.916288,-135.01428,
1400000000,-24.226496,-166.02646,
1422500000,-20.982048,-175.4567,
1445000000,-20.175892,156.58575,
1467500000,-26.885904,-167.56557,
1490000000,-17.624233,-148.7283,
1512500000,-14.155086,-174.67378,
1535000000,-13.916407,170.00664,
1557500000,-13.824181,155.55847,
1580000000,-14.318499,145.32843,
1602500000,-14.742249,131.12489,
1625000000,-16.216642,119.22128,
1647500000,-19.741581,100.4059,
1670000000,-27.186823,137.66476,
1692500000,-21.547709,149.71622,
1715000000,-22.357786,141.4882,
1737500000,-24.484291,134.00256,
1760000000,-32.338741,165.1758,
1782500000,-26.261738,-133.67285,
1805000000,-19.803705,-130.13974,
1827500000,-15.874927,-140.0829,
1850000000,-13.773551,-153.95863,
1872500000,-12.051307,-166.49213,
1895000000,-11.367072,179.26517,
1917500000,-11.420284,167.67255,
1940000000,-11.843686,161.46822,
1962500000,-11.368404,159.10234,
1985000000,-10.833446,151.93509,
2007500000,-10.534842,142.94415,
2030000000,-10.524544,133.78981,
2052500000,-11.097447,126.01099,
2075000000,-11.130924,121.33553,
2097500000,-11.102921,112.86088,
2120000000,-11.889146,105.41378,
2142500000,-12.171309,103.17078,
2165000000,-12.04682,94.730034,
2187500000,-12.718897,87.907127,
2210000000,-12.543086,80.544029,
2232500000,-13.176366,69.425613,
2255000000,-14.069883,58.962265,
2277500000,-14.860735,50.376125,
2300000000,-15.830962,38.558746,
2322500000,-17.056898,27.34124,
2345000000,-18.338501,15.375014,
2367500000,-19.38892,0.74928296,
2390000000,-21.471357,-15.469077,
2412500000,-22.693329,-34.55788,
