!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Monday, September 26, 2022 10:42:13,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S11(DB),S11(DEG),
1000000000,-0.4976266,171.71439,
1045000000,-0.82801968,156.72203,
1090000000,-1.3487655,140.16724,
1135000000,-2.4049156,120.21818,
1180000000,-4.8043194,96.994469,
1225000000,-5.9933639,76.755814,
1270000000,-11.349002,33.620884,
1315000000,-22.363407,-43.442795,
1360000000,-18.663937,-147.49118,
1405000000,-14.985624,171.16081,
1450000000,-14.667919,134.40958,
1495000000,-17.128899,164.83453,
1540000000,-14.251514,147.47801,
1585000000,-14.58971,128.17216,
1630000000,-16.331476,94.549965,
1675000000,-28.572338,25.558792,
1720000000,-26.844275,151.57988,
1765000000,-29.409058,-122.72544,
1810000000,-16.65172,-124.62153,
1855000000,-12.953927,-150.52164,
1900000000,-11.058132,-177.2635,
1945000000,-10.881566,163.95566,
1990000000,-10.51683,153.46152,
2035000000,-10.043539,140.95932,
2080000000,-9.6204815,126.13786,
2125000000,-9.4869146,108.28424,
2170000000,-10.092275,87.684418,
2215000000,-12.122722,68.814461,
2260000000,-12.976733,54.80933,
2305000000,-15.412484,30.30052,
2350000000,-17.024963,13.494725,
2395000000,-18.19598,-18.968788,
2440000000,-19.676619,-54.516605,
2485000000,-19.499424,-98.503242,
2530000000,-18.156097,-122.68551,
2575000000,-18.081261,-148.49539,
2620000000,-16.090014,-160.96481,
2665000000,-15.48481,-177.70346,
2710000000,-15.681613,172.55309,
2755000000,-15.291166,161.79089,
2800000000,-15.192122,157.47461,
2845000000,-14.488974,147.96907,
2890000000,-13.928861,138.80351,
2935000000,-14.093188,128.86877,
2980000000,-14.801384,119.38808,
3025000000,-14.609794,111.20795,
3070000000,-15.954115,99.894913,
3115000000,-17.824707,88.186974,
3160000000,-20.379007,84.641296,
3205000000,-22.548525,86.197128,
3250000000,-27.873869,85.469666,
3295000000,-32.19738,141.06337,
